label,energy_Ha,energy_solv_Ha
Z00000,-72.35241411639053,-72.35241411639053
Z00001,-32.71768366909522,-32.71768366909522
Z00002,-59.33177636792792,-59.33177636792792
Z00003,-29.55318260558049,-29.55318260558049
Z00004,-19.711859572524634,-19.711859572524634
Z00005,-21.86982021285515,-21.86982021285515
Z00006,-30.562556034034756,-30.562556034034756
Z00007,-70.19893726089592,-70.19893726089592
Z00008,-42.572999374178885,-42.572999374178885
Z00009,-43.595244252832074,-43.595244252832074
Z00010,-62.49172272041438,-62.49172272041438
Z00011,-27.392364705427088,-27.392364705427088
Z00012,-33.72670797898592,-33.72670797898592
Z00013,-72.33333607311783,-72.33333607311783
Z00014,-70.18126157176907,-70.18126157176907
Z00015,-40.426028251243046,-40.426028251243046
Z00016,-31.695619229615414,-31.695619229615414
Z00017,-61.49305289962589,-61.49305289962589
Z00018,-22.871550149726627,-22.871550149726627
Z00019,-89.69199724726114,-89.69199724726114
Z00020,-49.1094606139434,-49.1094606139434
Z00021,-48.06737551106925,-48.06737551106925
Z00022,-77.87510009385403,-77.87510009385403
Z00023,-77.86819563114634,-77.86819563114634
Z00024,-49.116888387003236,-49.116888387003236
Z00025,-48.111770530092244,-48.111770530092244
Z00026,-96.43240840695701,-96.43240840695701
Z00027,-56.795707093497036,-56.795707093497036
Z00028,-35.07111358820818,-35.07111358820818
Z00029,-56.7940504340396,-56.7940504340396
Z00030,-87.70933197764397,-87.70933197764397
Z00031,-45.93907598389948,-45.93907598389948
Z00032,-28.38471584770823,-28.38471584770823
Z00033,-39.24171922794252,-39.24171922794252
Z00034,-38.23270116543664,-38.23270116543664
Z00035,-48.07357585675822,-48.07357585675822
Z00036,-37.22269711860859,-37.22269711860859
Z00037,-68.80307488284275,-68.80307488284275
Z00038,-69.82123470680897,-69.82123470680897
Z00039,-47.04585716652151,-47.04585716652151
Z00040,-53.61817472023059,-53.61817472023059
Z00041,-89.72987771388796,-89.72987771388796
Z00042,-66.64688776481516,-66.64688776481516
Z00043,-55.76961639824623,-55.76961639824623
Z00044,-55.76643353942617,-55.76643353942617
Z00045,-138.2307960070606,-138.2307960070606
Z00046,-86.57492375686053,-86.57492375686053
Z00047,-57.926434134647586,-57.926434134647586
Z00048,-59.9595657788548,-59.9595657788548
Z00049,-45.945303891580316,-45.945303891580316
Z00050,-78.87858591335363,-78.87858591335363
Z00051,-26.332231275296138,-26.332231275296138
Z00052,-35.021656350013444,-35.021656350013444
Z00053,-87.72785069622853,-87.72785069622853
Z00054,-49.08493705606548,-49.08493705606548
Z00055,-54.377191551817916,-54.377191551817916
Z00056,-37.17654070455909,-37.17654070455909
Z00057,-58.95262993296069,-58.95262993296069
Z00058,-46.93349684802275,-46.93349684802275
Z00059,-39.244628671803326,-39.244628671803326
Z00060,-25.22640006266024,-25.22640006266024
Z00061,-38.24310489863096,-38.24310489863096
Z00062,-35.080827904112766,-35.080827904112766
Z00063,-75.70796204522037,-75.70796204522037
Z00064,-38.23365150291599,-38.23365150291599
Z00065,-77.86981443880161,-77.86981443880161
Z00066,-139.25302177606608,-139.25302177606608
Z00067,-67.01958359120732,-67.01958359120732
Z00068,-39.24058220390496,-39.24058220390496
Z00069,-38.23567859554403,-38.23567859554403
Z00070,-49.113724270337634,-49.113724270337634
Z00071,-98.58070618043439,-98.58070618043439
Z00072,-89.69540096950931,-89.69540096950931
Z00073,-117.45042121893357,-117.45042121893357
Z00074,-45.924447916085974,-45.924447916085974
Z00075,-49.078598165430755,-49.078598165430755
Z00076,-68.00938175805571,-68.00938175805571
Z00077,-52.2200930505928,-52.2200930505928
Z00078,-96.42630654945228,-96.42630654945228
Z00079,-56.794412047372816,-56.794412047372816
Z00080,-89.70240612536062,-89.70240612536062
Z00081,-87.706968261222,-87.706968261222
Z00082,-88.71594847192573,-88.71594847192573
Z00083,-44.605989166001336,-44.605989166001336
Z00084,-38.18694458401572,-38.18694458401572
Z00085,-28.389467167611777,-28.389467167611777
Z00086,-88.73684119674255,-88.73684119674255
Z00087,-115.29457292965927,-115.29457292965927
Z00088,-83.39497621812063,-83.39497621812063
Z00089,-27.35760682873147,-27.35760682873147
Z00090,-86.56596463953291,-86.56596463953291
Z00091,-37.22916352939232,-37.22916352939232
Z00092,-49.09299287504651,-49.09299287504651
Z00093,-85.56437545256654,-85.56437545256654
Z00094,-75.72067547333263,-75.72067547333263
Z00095,-98.579464788321,-98.579464788321
Z00096,-24.194116004091732,-24.194116004091732
Z00097,-49.109276132344554,-49.109276132344554
Z00098,-50.09384523809714,-50.09384523809714
Z00099,-56.799535637913095,-56.799535637913095
Z00100,-46.93144366337574,-46.93144366337574
Z00101,-36.07647325566109,-36.07647325566109
Z00102,-36.07729533800499,-36.07729533800499
Z00103,-88.71819789795478,-88.71819789795478
Z00104,-88.72169459598884,-88.72169459598884
Z00105,-44.8980599188163,-44.8980599188163
Z00106,-85.56351441594082,-85.56351441594082
Z00107,-58.94852429865313,-58.94852429865313
Z00108,-36.07919380800435,-36.07919380800435
Z00109,-96.42972607390912,-96.42972607390912
Z00110,-87.75122142786022,-87.75122142786022
Z00111,-75.72122965311563,-75.72122965311563
Z00112,-99.5997204261483,-99.5997204261483
Z00113,-24.18438110856655,-24.18438110856655
Z00114,-99.59760917757178,-99.59760917757178
Z00115,-45.94923790655189,-45.94923790655189
Z00116,-49.08434722943966,-49.08434722943966
Z00117,-32.90577552138963,-32.90577552138963
Z00118,-27.37842972983557,-27.37842972983557
Z00119,-55.76705644044221,-55.76705644044221
Z00120,-76.855041064902,-76.855041064902
Z00121,-52.21966308351978,-52.21966308351978
Z00122,-85.55931066094222,-85.55931066094222
Z00123,-48.10004161632926,-48.10004161632926
Z00124,-53.61610132345622,-53.61610132345622
Z00125,-42.44607199174194,-42.44607199174194
Z00126,-88.72872915129813,-88.72872915129813
Z00127,-46.92578720765948,-46.92578720765948
Z00128,-38.230690242510484,-38.230690242510484
Z00129,-26.351595595790975,-26.351595595790975
Z00130,-36.07542332751781,-36.07542332751781
Z00131,-32.91048678453168,-32.91048678453168
Z00132,-39.24263649103164,-39.24263649103164
Z00133,-25.22263803451788,-25.22263803451788
Z00134,-59.96283646855561,-59.96283646855561
Z00135,-45.911428733610684,-45.911428733610684
Z00136,-85.59154937158179,-85.59154937158179
Z00137,-27.396578382742742,-27.396578382742742
Z00138,-45.93345774747861,-45.93345774747861
Z00139,-35.064121294619746,-35.064121294619746
Z00140,-99.60188900366789,-99.60188900366789
Z00141,-54.62651549272314,-54.62651549272314
Z00142,-62.32533575296361,-62.32533575296361
Z00143,-53.62173683205866,-53.62173683205866
Z00144,-50.4386656009079,-50.4386656009079
Z00145,-91.06542820636523,-91.06542820636523
Z00146,-104.07275020532013,-104.07275020532013
Z00147,-104.09543409211466,-104.09543409211466
Z00148,-65.45573271022967,-65.45573271022967
Z00149,-62.30112272686065,-62.30112272686065
Z00150,-74.33884288412297,-74.33884288412297
Z00151,-73.27826258223065,-73.27826258223065
Z00152,-103.07319619583274,-103.07319619583274
Z00153,-59.95549101397813,-59.95549101397813
Z00154,-71.11319940034426,-71.11319940034426
Z00155,-41.58612020601515,-41.58612020601515
Z00156,-51.45586112265222,-51.45586112265222
Z00157,-64.43921374351221,-64.43921374351221
Z00158,-43.74532554589809,-43.74532554589809
Z00159,-93.23122049480963,-93.23122049480963
Z00160,-65.4658744207547,-65.4658744207547
Z00161,-54.62606421104309,-54.62606421104309
Z00162,-51.46209454273142,-51.46209454273142
Z00163,-61.28856129468116,-61.28856129468116
Z00164,-31.87301519160177,-31.87301519160177
Z00165,-83.0281231665097,-83.0281231665097
Z00166,-61.29563039435358,-61.29563039435358
Z00167,-72.13358807071894,-72.13358807071894
Z00168,-63.447244426691654,-63.447244426691654
Z00169,-106.09383983153683,-106.09383983153683
Z00170,-101.93956412074009,-101.93956412074009
Z00171,-60.241136882743774,-60.241136882743774
Z00172,-64.46264731648536,-64.46264731648536
Z00173,-83.02542098882769,-83.02542098882769
Z00174,-100.8949499294928,-100.8949499294928
Z00175,-105.08204756267686,-105.08204756267686
Z00176,-30.733722250874163,-30.733722250874163
Z00177,-84.15185387164634,-84.15185387164634
Z00178,-33.89603011482324,-33.89603011482324
Z00179,-114.95646152316061,-114.95646152316061
Z00180,-65.46025544934739,-65.46025544934739
Z00181,-43.761360745269386,-43.761360745269386
Z00182,-83.0123543997264,-83.0123543997264
Z00183,-68.67276546025788,-68.67276546025788
Z00184,-76.01336655471106,-76.01336655471106
Z00185,-55.585199478199904,-55.585199478199904
Z00186,-42.74072144451539,-42.74072144451539
Z00187,-54.62177115519087,-54.62177115519087
Z00188,-114.93502270341173,-114.93502270341173
Z00189,-104.09691508981065,-104.09691508981065
Z00190,-74.2982212855323,-74.2982212855323
Z00191,-53.63844050160588,-53.63844050160588
Z00192,-71.85401833493229,-71.85401833493229
Z00193,-63.41634375888363,-63.41634375888363
Z00194,-75.31894363975512,-75.31894363975512
Z00195,-60.97606196099232,-60.97606196099232
Z00196,-65.45124047304961,-65.45124047304961
Z00197,-63.28387531360301,-63.28387531360301
Z00198,-101.95230584583065,-101.95230584583065
Z00199,-106.09618296833821,-106.09618296833821
Z00200,-39.504108655469366,-39.504108655469366
Z00201,-105.09197539214507,-105.09197539214507
Z00202,-64.46182817408726,-64.46182817408726
Z00203,-54.636704609874194,-54.636704609874194
Z00204,-79.5216296005491,-79.5216296005491
Z00205,-50.04936753309856,-50.04936753309856
Z00206,-86.19168271238247,-86.19168271238247
Z00207,-86.19020097970005,-86.19020097970005
Z00208,-43.756368349810366,-43.756368349810366
Z00209,-44.75272590322836,-44.75272590322836
Z00210,-38.42469212084627,-38.42469212084627
Z00211,-64.43767063946125,-64.43767063946125
Z00212,-54.62418815813044,-54.62418815813044
Z00213,-79.46945915987561,-79.46945915987561
Z00214,-102.92370289192642,-102.92370289192642
Z00215,-59.10414077467121,-59.10414077467121
Z00216,-101.90551550596834,-101.90551550596834
Z00217,-105.0912694376602,-105.0912694376602
Z00218,-41.59255978979346,-41.59255978979346
Z00219,-101.93531075415615,-101.93531075415615
Z00220,-59.139469735838176,-59.139469735838176
Z00221,-73.15649700962936,-73.15649700962936
Z00222,-53.56607006084433,-53.56607006084433
Z00223,-38.415921895036206,-38.415921895036206
Z00224,-75.34264327782302,-75.34264327782302
Z00225,-104.07508856470959,-104.07508856470959
Z00226,-72.16814235616802,-72.16814235616802
Z00227,-64.43418753867651,-64.43418753867651
Z00228,-66.4586514876834,-66.4586514876834
Z00229,-54.62388313875385,-54.62388313875385
Z00230,-70.81380781499789,-70.81380781499789
Z00231,-68.67614897037869,-68.67614897037869
Z00232,-100.8875004743327,-100.8875004743327
Z00233,-43.75537648559661,-43.75537648559661
Z00234,-40.58711559889885,-40.58711559889885
Z00235,-63.459239773042626,-63.459239773042626
Z00236,-32.88856250623282,-32.88856250623282
Z00237,-74.30685186391693,-74.30685186391693
Z00238,-63.42404751935529,-63.42404751935529
Z00239,-113.93374478320676,-113.93374478320676
Z00240,-30.73392694460038,-30.73392694460038
Z00241,-53.61974869371245,-53.61974869371245
Z00242,-120.79719046960916,-120.79719046960916
Z00243,-51.46703989905767,-51.46703989905767
Z00244,-112.78519836307846,-112.78519836307846
