label,energy_Ha,energy_solv_Ha
Z00245,-32.890016309430166,-32.890016309430166
Z00246,-30.73509924798752,-30.73509924798752
Z00247,-33.89669638003981,-33.89669638003981
Z00248,-75.35110223687165,-75.35110223687165
Z00249,-103.05643556483567,-103.05643556483567
Z00250,-65.45916436196292,-65.45916436196292
Z00251,-95.24351784562278,-95.24351784562278
Z00252,-50.404883786217376,-50.404883786217376
Z00253,-81.67206838955424,-81.67206838955424
Z00254,-54.63687034931858,-54.63687034931858
Z00255,-75.35260307920177,-75.35260307920177
Z00256,-86.19947430373487,-86.19947430373487
Z00257,-61.2945907560206,-61.2945907560206
Z00258,-104.0779017253455,-104.0779017253455
Z00259,-62.30821571359268,-62.30821571359268
Z00260,-104.09552192299539,-104.09552192299539
Z00261,-72.13606350508125,-72.13606350508125
Z00262,-111.82965975211285,-111.82965975211285
Z00263,-50.1311248533014,-50.1311248533014
Z00264,-102.92771040554297,-102.92771040554297
Z00265,-51.46018504793532,-51.46018504793532
Z00266,-68.66136324797175,-68.66136324797175
Z00267,-44.75842572314514,-44.75842572314514
Z00268,-48.18371578119269,-48.18371578119269
Z00269,-105.07776589911462,-105.07776589911462
Z00270,-72.1381692412594,-72.1381692412594
Z00271,-33.89975759860247,-33.89975759860247
Z00272,-47.96064776122713,-47.96064776122713
Z00273,-76.3328945638176,-76.3328945638176
Z00274,-60.96220783391026,-60.96220783391026
Z00275,-44.753934955937986,-44.753934955937986
Z00276,-61.977832689611745,-61.977832689611745
Z00277,-54.57704061485362,-54.57704061485362
Z00278,-62.2926398807524,-62.2926398807524
Z00279,-65.45396359784543,-65.45396359784543
Z00280,-111.78260297966257,-111.78260297966257
Z00281,-50.412451574195856,-50.412451574195856
Z00282,-81.63238573615297,-81.63238573615297
Z00283,-75.31881354715352,-75.31881354715352
Z00284,-54.63511740663624,-54.63511740663624
Z00285,-62.312473857588536,-62.312473857588536
Z00286,-64.44569375154526,-64.44569375154526
Z00287,-75.31911195165208,-75.31911195165208
Z00288,-63.45424480513103,-63.45424480513103
Z00289,-59.126332220544505,-59.126332220544505
Z00290,-65.48024855074986,-65.48024855074986
Z00291,-63.434793388741916,-63.434793388741916
Z00292,-44.75875683454069,-44.75875683454069
Z00293,-62.31014983043485,-62.31014983043485
Z00294,-78.17522152074488,-78.17522152074488
Z00295,-59.13323117085383,-59.13323117085383
Z00296,-105.08387657645673,-105.08387657645673
Z00297,-51.36528286257431,-51.36528286257431
Z00298,-42.74823557848305,-42.74823557848305
Z00299,-51.414019814048416,-51.414019814048416
Z00300,-75.3151393498919,-75.3151393498919
Z00301,-93.23502184472704,-93.23502184472704
Z00302,-105.09147743882545,-105.09147743882545
Z00303,-51.45378515342527,-51.45378515342527
Z00304,-72.16811810161518,-72.16811810161518
Z00305,-64.45249494865679,-64.45249494865679
Z00306,-74.30230303278024,-74.30230303278024
Z00307,-29.716023630905077,-29.716023630905077
Z00308,-32.90597617269038,-32.90597617269038
Z00309,-62.30787210742748,-62.30787210742748
Z00310,-81.98866343523358,-81.98866343523358
Z00311,-51.458677590727156,-51.458677590727156
Z00312,-105.08637479539898,-105.08637479539898
Z00313,-52.427673068598814,-52.427673068598814
Z00314,-44.89915835606525,-44.89915835606525
Z00315,-76.33479854621534,-76.33479854621534
Z00316,-94.24349711973989,-94.24349711973989
Z00317,-99.8699598764503,-99.8699598764503
Z00318,-40.58274683944232,-40.58274683944232
Z00319,-64.4723755971325,-64.4723755971325
Z00320,-61.290064341970634,-61.290064341970634
Z00321,-45.911617992621466,-45.911617992621466
Z00322,-29.70851133440354,-29.70851133440354
Z00323,-43.72452836931972,-43.72452836931972
Z00324,-64.46949077531774,-64.46949077531774
Z00325,-83.02130579969628,-83.02130579969628
Z00326,-102.92997489879423,-102.92997489879423
Z00327,-52.43583472562858,-52.43583472562858
Z00328,-66.45771989235851,-66.45771989235851
Z00329,-114.95474569729397,-114.95474569729397
Z00330,-51.42938911569636,-51.42938911569636
Z00331,-112.79098454390308,-112.79098454390308
Z00332,-53.612811156614505,-53.612811156614505
Z00333,-94.2500032197919,-94.2500032197919
Z00334,-50.43896804783192,-50.43896804783192
Z00335,-61.306800718414856,-61.306800718414856
Z00336,-52.59772541347382,-52.59772541347382
Z00337,-44.734507426608474,-44.734507426608474
Z00338,-68.6737183701898,-68.6737183701898
Z00339,-122.95385606381545,-122.95385606381545
Z00340,-61.262037838673834,-61.262037838673834
Z00341,-62.39387544434975,-62.39387544434975
Z00342,-62.29967112862265,-62.29967112862265
Z00343,-72.16508554752406,-72.16508554752406
Z00344,-73.14703369159731,-73.14703369159731
Z00345,-86.20444685455975,-86.20444685455975
Z00346,-113.93165117430502,-113.93165117430502
Z00347,-115.97166633410613,-115.97166633410613
Z00348,-71.11588504083116,-71.11588504083116
Z00349,-66.46409442983604,-66.46409442983604
Z00350,-109.6239349148743,-109.6239349148743
Z00351,-62.30957654100414,-62.30957654100414
Z00352,-111.78347099865957,-111.78347099865957
Z00353,-85.16653059482782,-85.16653059482782
Z00354,-61.31874976061951,-61.31874976061951
Z00355,-40.517126881727286,-40.517126881727286
Z00356,-53.616796620637565,-53.616796620637565
Z00357,-62.308216448579124,-62.308216448579124
Z00358,-31.86703570934091,-31.86703570934091
Z00359,-73.15869094418147,-73.15869094418147
Z00360,-64.45930864053797,-64.45930864053797
Z00361,-83.0087445137791,-83.0087445137791
Z00362,-61.28050474071369,-61.28050474071369
Z00363,-113.98073614186302,-113.98073614186302
Z00364,-44.76062994750754,-44.76062994750754
Z00365,-114.95525908532903,-114.95525908532903
Z00366,-51.13106803811386,-51.13106803811386
Z00367,-115.96061324038357,-115.96061324038357
Z00368,-92.07314754781463,-92.07314754781463
Z00369,-115.96990787902543,-115.96990787902543
Z00370,-51.458251298586376,-51.458251298586376
Z00371,-32.87624744077627,-32.87624744077627
Z00372,-61.29231119554711,-61.29231119554711
Z00373,-63.28994813914298,-63.28994813914298
Z00374,-70.8300730651279,-70.8300730651279
Z00375,-62.26608077790225,-62.26608077790225
Z00376,-114.94877282991116,-114.94877282991116
Z00377,-51.448720361800966,-51.448720361800966
Z00378,-80.8174250434598,-80.8174250434598
Z00379,-79.79940486691902,-79.79940486691902
Z00380,-120.4600874645194,-120.4600874645194
Z00381,-81.82249916867706,-81.82249916867706
Z00382,-64.6556205812849,-64.6556205812849
Z00383,-80.83468767020196,-80.83468767020196
Z00384,-69.96439059005345,-69.96439059005345
Z00385,-68.68828800658056,-68.68828800658056
Z00386,-109.58977127472319,-109.58977127472319
Z00387,-121.45630610549843,-121.45630610549843
Z00388,-79.81966954581463,-79.81966954581463
Z00389,-109.61532932602896,-109.61532932602896
Z00390,-199.73324019604644,-199.73324019604644
Z00391,-91.68205354061566,-91.68205354061566
Z00392,-91.7084718935607,-91.7084718935607
Z00393,-90.65826445543182,-90.65826445543182
Z00394,-160.07409460137455,-160.07409460137455
Z00395,-79.83052676564839,-79.83052676564839
Z00396,-79.80398787492561,-79.80398787492561
Z00397,-79.8064081853042,-79.8064081853042
Z00398,-82.81496974625625,-82.81496974625625
Z00399,-70.96808367573186,-70.96808367573186
Z00400,-97.24570141539598,-97.24570141539598
Z00401,-67.80197666682471,-67.80197666682471
Z00402,-120.46823368683373,-120.46823368683373
Z00403,-81.83282609578738,-81.83282609578738
Z00404,-81.82614911138585,-81.82614911138585
Z00405,-66.82252416924113,-66.82252416924113
Z00406,-53.467452886473744,-53.467452886473744
Z00407,-68.95900740303416,-68.95900740303416
Z00408,-199.7334956038377,-199.7334956038377
Z00409,-39.40736165411982,-39.40736165411982
Z00410,-79.8271660401075,-79.8271660401075
Z00411,-79.6561479230377,-79.6561479230377
Z00412,-79.81213409723993,-79.81213409723993
Z00413,-48.253098134543315,-48.253098134543315
Z00414,-110.60329737661779,-110.60329737661779
Z00415,-109.6026868241091,-109.6026868241091
Z00416,-110.58478821285709,-110.58478821285709
Z00417,-110.62460867621768,-110.62460867621768
Z00418,-117.33959812459419,-117.33959812459419
Z00419,-70.99400775028953,-70.99400775028953
Z00420,-119.44299814831705,-119.44299814831705
Z00421,-120.44771360014687,-120.44771360014687
Z00422,-80.8622570119271,-80.8622570119271
Z00423,-119.42832010142497,-119.42832010142497
Z00424,-78.80351733733555,-78.80351733733555
Z00425,-80.83143609014886,-80.83143609014886
Z00426,-63.62737380328414,-63.62737380328414
Z00427,-90.66048815693513,-90.66048815693513
Z00428,-78.78355841280298,-78.78355841280298
Z00429,-60.77984189355159,-60.77984189355159
Z00430,-81.835691072968,-81.835691072968
Z00431,-119.29320974735121,-119.29320974735121
Z00432,-68.97083113004915,-68.97083113004915
Z00433,-70.99007520529086,-70.99007520529086
Z00434,-80.84622181255581,-80.84622181255581
Z00435,-56.952126542211325,-56.952126542211325
Z00436,-77.69045753296768,-77.69045753296768
Z00437,-50.26336471779618,-50.26336471779618
Z00438,-68.96803193415579,-68.96803193415579
Z00439,-77.67875177127786,-77.67875177127786
Z00440,-81.81475461645744,-81.81475461645744
Z00441,-81.83602622678903,-81.83602622678903
Z00442,-79.83532769713729,-79.83532769713729
Z00443,-79.80895270839277,-79.80895270839277
Z00444,-77.69137148861778,-77.69137148861778
Z00445,-78.79130112755645,-78.79130112755645
Z00446,-77.69080113913287,-77.69080113913287
Z00447,-49.255987512539065,-49.255987512539065
Z00448,-117.34509508825086,-117.34509508825086
Z00449,-64.64294867990705,-64.64294867990705
Z00450,-66.80954761597991,-66.80954761597991
Z00451,-160.0969049058384,-160.0969049058384
Z00452,-97.03777301381284,-97.03777301381284
Z00453,-121.45767575274728,-121.45767575274728
Z00454,-78.7873318332353,-78.7873318332353
Z00455,-109.57444166234353,-109.57444166234353
Z00456,-69.98198837061663,-69.98198837061663
Z00457,-80.82899079023099,-80.82899079023099
Z00458,-78.78844607269293,-78.78844607269293
Z00459,-119.50036016577741,-119.50036016577741
Z00460,-81.82223788099421,-81.82223788099421
Z00461,-55.94914382093647,-55.94914382093647
Z00462,-80.81906332825601,-80.81906332825601
Z00463,-59.12725021862007,-59.12725021862007
Z00464,-64.64781135025771,-64.64781135025771
Z00465,-69.99295289847203,-69.99295289847203
Z00466,-47.08417936000454,-47.08417936000454
Z00467,-67.82030061400012,-67.82030061400012
Z00468,-79.8312691019625,-79.8312691019625
Z00469,-68.93854721774295,-68.93854721774295
Z00470,-81.81818737067037,-81.81818737067037
Z00471,-70.97318815662445,-70.97318815662445
Z00472,-80.82375915668261,-80.82375915668261
Z00473,-127.51653875512514,-127.51653875512514
Z00474,-160.08741476080093,-160.08741476080093
Z00475,-121.46129703098454,-121.46129703098454
Z00476,-91.17518961277814,-91.17518961277814
Z00477,-77.69305534257386,-77.69305534257386
Z00478,-82.82066993366625,-82.82066993366625
Z00479,-92.69114620424617,-92.69114620424617
Z00480,-46.046072003795715,-46.046072003795715
Z00481,-124.65919624626311,-124.65919624626311
Z00482,-38.403782491341104,-38.403782491341104
Z00483,-200.7428859369803,-200.7428859369803
Z00484,-65.77774423854945,-65.77774423854945
Z00485,-109.62045365155569,-109.62045365155569
Z00486,-108.44588871111094,-108.44588871111094
Z00487,-199.72007438377446,-199.72007438377446
Z00488,-77.66403660757005,-77.66403660757005
Z00489,-76.65499576048424,-76.65499576048424
Z00490,-66.80485582997879,-66.80485582997879
Z00491,-89.63542460524766,-89.63542460524766
Z00492,-120.45404808086289,-120.45404808086289
Z00493,-80.85334125880003,-80.85334125880003
Z00494,-79.81536987508439,-79.81536987508439
Z00495,-88.53619467340901,-88.53619467340901
Z00496,-80.83279985750613,-80.83279985750613
Z00497,-121.45624069170441,-121.45624069170441
Z00498,-150.24222974144558,-150.24222974144558
Z00499,-81.82927831619509,-81.82927831619509
Z00500,-79.78713978054104,-79.78713978054104
Z00501,-79.80228564630829,-79.80228564630829
Z00502,-150.2494278312399,-150.2494278312399
Z00503,-38.40053127878122,-38.40053127878122
Z00504,-90.6971562634133,-90.6971562634133
Z00505,-86.12634021205217,-86.12634021205217
Z00506,-75.16645306110726,-75.16645306110726
Z00507,-79.82912992390088,-79.82912992390088
Z00508,-65.7936497128124,-65.7936497128124
Z00509,-39.40731571746672,-39.40731571746672
Z00510,-122.45341922498663,-122.45341922498663
Z00511,-36.245501396918556,-36.245501396918556
Z00512,-80.80624589956113,-80.80624589956113
Z00513,-79.65682741801038,-79.65682741801038
Z00514,-162.1018953888627,-162.1018953888627
Z00515,-71.9767129304059,-71.9767129304059
Z00516,-77.65932166949577,-77.65932166949577
Z00517,-122.46498533925102,-122.46498533925102
Z00518,-121.46566579044107,-121.46566579044107
Z00519,-69.98834637089905,-69.98834637089905
Z00520,-80.8231961570622,-80.8231961570622
Z00521,-80.84576244602479,-80.84576244602479
Z00522,-78.68047582825773,-78.68047582825773
Z00523,-161.0920328269262,-161.0920328269262
Z00524,-79.79312624517317,-79.79312624517317
Z00525,-68.94548254988153,-68.94548254988153
Z00526,-89.52128341458148,-89.52128341458148
Z00527,-88.62939279268657,-88.62939279268657
Z00528,-160.09345230699134,-160.09345230699134
Z00529,-55.62434522399973,-55.62434522399973
Z00530,-120.43966733598968,-120.43966733598968
Z00531,-108.42961390615707,-108.42961390615707
Z00532,-119.44046538501166,-119.44046538501166
Z00533,-77.67131664835351,-77.67131664835351
Z00534,-121.45850187751665,-121.45850187751665
Z00535,-60.136767336925246,-60.136767336925246
Z00536,-36.244005699493584,-36.244005699493584
Z00537,-67.83274834451083,-67.83274834451083
Z00538,-64.65092842779055,-64.65092842779055
Z00539,-79.81846233057114,-79.81846233057114
Z00540,-70.97394923509303,-70.97394923509303
Z00541,-47.22421926819589,-47.22421926819589
Z00542,-88.54461872060129,-88.54461872060129
Z00543,-74.18576909372734,-74.18576909372734
Z00544,-90.70610398845093,-90.70610398845093
Z00545,-122.46156985721964,-122.46156985721964
Z00546,-66.80321276777066,-66.80321276777066
Z00547,-115.10910020157804,-115.10910020157804
Z00548,-121.45130011279007,-121.45130011279007
Z00549,-38.39789965979837,-38.39789965979837
Z00550,-120.44767611583794,-120.44767611583794
Z00551,-99.41033536519579,-99.41033536519579
Z00552,-120.43853913178951,-120.43853913178951
Z00553,-76.35537890179106,-76.35537890179106
Z00554,-66.80652498420586,-66.80652498420586
Z00555,-121.45893919445417,-121.45893919445417
Z00556,-120.45713355397838,-120.45713355397838
Z00557,-80.83572730853496,-80.83572730853496
Z00558,-117.28374944423358,-117.28374944423358
Z00559,-79.78549488086679,-79.78549488086679
Z00560,-96.57094673783178,-96.57094673783178
Z00561,-92.69393474283602,-92.69393474283602
Z00562,-79.79629183181166,-79.79629183181166
Z00563,-78.77189564782044,-78.77189564782044
Z00564,-38.40273035823848,-38.40273035823848
Z00565,-80.81521346923292,-80.81521346923292
Z00566,-71.85206143351019,-71.85206143351019
Z00567,-78.78591294189431,-78.78591294189431
Z00568,-90.66549341465704,-90.66549341465704
Z00569,-92.69165113993706,-92.69165113993706
Z00570,-59.12752730851158,-59.12752730851158
Z00571,-47.40115806861058,-47.40115806861058
Z00572,-36.244312923829526,-36.244312923829526
Z00573,-161.10148144522924,-161.10148144522924
Z00574,-109.59751913438184,-109.59751913438184
Z00575,-78.80117052560192,-78.80117052560192
Z00576,-81.82657099360793,-81.82657099360793
Z00577,-160.07870333390684,-160.07870333390684
Z00578,-69.99381393509775,-69.99381393509775
Z00579,-107.4136884409977,-107.4136884409977
Z00580,-60.145686397491346,-60.145686397491346
Z00581,-43.93432731141713,-43.93432731141713
Z00582,-47.10028585306145,-47.10028585306145
Z00583,-118.4250896897166,-118.4250896897166
Z00584,-126.82097697866551,-126.82097697866551
Z00585,-87.51987084559393,-87.51987084559393
Z00586,-56.96878170265287,-56.96878170265287
Z00587,-64.4609755898057,-64.4609755898057
Z00588,-79.80262851748704,-79.80262851748704
Z00589,-90.67279109511527,-90.67279109511527
Z00590,-120.4552659534099,-120.4552659534099
Z00591,-56.95498857944614,-56.95498857944614
Z00592,-82.83141065814772,-82.83141065814772
Z00593,-119.4527312063761,-119.4527312063761
Z00594,-120.45096371022707,-120.45096371022707
Z00595,-64.65870054200202,-64.65870054200202
Z00596,-80.81522927144158,-80.81522927144158
Z00597,-121.4585959557822,-121.4585959557822
Z00598,-67.82128512834937,-67.82128512834937
Z00599,-50.4196632612395,-50.4196632612395
Z00600,-75.50006745301393,-75.50006745301393
Z00601,-77.75032548672802,-77.75032548672802
Z00602,-66.82584410303404,-66.82584410303404
Z00603,-69.97290063066035,-69.97290063066035
Z00604,-79.78308449280527,-79.78308449280527
Z00605,-98.74355382063705,-98.74355382063705
Z00606,-77.68946713872681,-77.68946713872681
