KEGG_ID1,KEGG_ID2,category,ORP_exp,KEGG_l,KEGG_r,smiles_r,smiles_l,ORP_GCM,ORP_PM7,ORP_DLPNO
C02636 + C00282 = C15025,C02636 = C15025,2,-196,['C02636'],['C15025'],C[N+](C)(C)C[C@@H](O)CC(O)=O,C[N+](C)(C)CC(=O)CC(O)=O,-219.042719506,-672.294458773,117.700965127
C00250 + C00282 = C00314,C00250 = C00314,2,-192,['C00250'],['C00314'],Cc1[nH+]cc(CO)c(CO)c1[O-],Cc1[nH+]cc(CO)c(C=O)c1[O-],-207.007832904,-727.834360612,214.232777222
C00022 + C00282 = C00186,C00022 = C00186,2,-191,['C00022'],['C00186'],C[C@H](O)C(O)=O,CC(=O)C(O)=O,-219.045228686,-602.095581228,133.662622918
C00026 + C00282 = C01087,C00026 = C01087,2,-188,['C00026'],['C01087'],O[C@H](CCC(O)=O)C(O)=O,OC(=O)CCC(=O)C(O)=O,-219.042836265,-626.871783422,147.090430035
C03926 + C00282 = C02782,C03926 = C02782,2,-185,['C03926'],['C02782'],OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,OC[C@@H](O)[C@@H](O)C(=O)CC(O)=O,-219.047757172,-710.042819496,130.178957568
C00036 + C00282 = C00149,C00036 = C00149,2,-177,['C00036'],['C00149'],O[C@@H](CC(O)=O)C(O)=O,OC(=O)CC(=O)C(O)=O,-218.88468218,-564.406095169,118.66183349
C02780 + C00282 = C15673,C02780 = C15673,2,-174,['C02780'],['C15673'],OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,OCC(=O)[C@@H](O)[C@H](O)C(=O)C(O)=O,-219.053526473,-714.737761279,100.466730513
C00168 + C00282 = C00258,C00168 = C00258,2,-169,['C00168'],['C00258'],OC[C@@H](O)C(O)=O,OCC(=O)C(O)=O,-219.048966406,-577.089579216,194.192356032
C00118 + C00282 = C00093,C00118 = C00093,2,-169,['C00118'],['C00093'],OC[C@@H]([OH2+])COP(O)([O-])=O,O[C@H](COP(O)(O)=O)C=O,-205.465728924,-1168.11739871,130.921136004
C00026 + C00282 = C03196,C00026 = C03196,2,-166,['C00026'],['C03196'],O[C@@H](CCC(O)=O)C(O)=O,OC(=O)CCC(=O)C(O)=O,-219.042836265,-637.886668794,153.174470266
C00424 + C00282 = C00583,C00424 = C00583,2,-166,['C00424'],['C00583'],CC(O)CO,C[C@H](O)C=O,-206.214203702,-653.35211253,119.946426859
C01146 + C00282 = C00258,C01146 = C00258,2,-161,['C01146'],['C00258'],OC[C@@H](O)C(O)=O,OC(C=O)C(O)=O,-206.212258157,-653.659562798,153.102577043
C00036 + C00282 = C00497,C00036 = C00497,2,-129,['C00036'],['C00497'],O[C@H](CC(O)=O)C(O)=O,OC(=O)CC(=O)C(O)=O,-218.88468218,-671.304982705,117.638508332
C00577 + C00282 = C00116,C00577 = C00116,2,-129,['C00577'],['C00116'],OCC(O)CO,OC[C@@H](O)C=O,-206.214219109,-663.10702642,144.013301377
C03459 + C00282 = C00552,C03459 = C00552,2,-126,['C03459'],['C00552'],O[C@@H]([C@@H](O)C(O)=O)C(O)=O,OC(C(O)=O)C(=O)C(O)=O,-218.974339294,-481.577899345,171.957365698
C00048 + C00282 = C00160,C00048 = C00160,2,-103,['C00048'],['C00160'],OCC(O)=O,OC(=O)C=O,-206.210376912,-564.163285206,227.225583556
C03656 + C00282 + C00014 = C01186 + C00001,C03656 + C00014 = C01186 + C00001,3,-327,"['C03656', 'C00014']","['C01186', 'C00001']",C[C@H]([NH3+])C[C@H]([NH3+])CC(O)=O,C[C@H]([NH3+])CC(=O)CC(O)=O,-241.284971591,-1102.39033381,-109.192534974
C00940 + C00282 + C00014 = C00064 + C00001,C00940 + C00014 = C00064 + C00001,3,-288,"['C00940', 'C00014']","['C00064', 'C00001']",NC(=O)CC[C@H]([NH3+])C(O)=O,NC(=O)CCC(=O)C(O)=O,-241.369422326,-909.222587681,68.2051752531
C01267 + C00282 + C00014 = C01100 + C00001,C01267 + C00014 = C01100 + C00001,3,-268,"['C01267', 'C00014']","['C01100', 'C00001']",[NH3+][C@H](COP(O)(O)=O)Cc1c[nH]c[nH+]1,OP(O)(=O)OCC(=O)Cc1c[nH]c[nH+]1,-239.931051962,-904.097999333,-82.1698581847
C03459 + C00282 + C00014 = C19838 + C00001,C03459 + C00014 = C19838 + C00001,3,-263,"['C03459', 'C00014']","['C19838', 'C00001']",[NH3+][C@H]([C@H](O)C(O)=O)C(O)=O,OC(C(O)=O)C(=O)C(O)=O,-241.29849649,-740.546791317,110.065241867
C03341 + C00282 + C00014 = C03943 + C00001,C03341 + C00014 = C03943 + C00001,3,-260,"['C03341', 'C00014']","['C03943', 'C00001']",C[C@H]([NH3+])C[C@@H]([NH3+])C(O)=O,CC(=O)C[C@@H]([NH3+])C(O)=O,-240.88276923,-1040.39188734,-176.511300637
C00222 + C00282 + C00014 = C00099 + C00001,C00222 + C00014 = C00099 + C00001,3,-249,"['C00222', 'C00014']","['C00099', 'C00001']",[NH3+]CCC(O)=O,OC(=O)CC=O,-203.6371773,-699.201226072,127.574857937
