KEGG_ID,KEGG_redox_pair,category,ORP_exp,E0_exp_MSpH0_mM,ExpErr,double_reduction,remove
C00332 = C03561,C00332 = C03561,2,-238,184.9992309,-19.0074545,FALSE,TRUE
C03064 = C01620,C03064 = C01620,2,-238,192.200467,-9.313949494,FALSE,FALSE
C00309 = C01904,C00309 = C01904,2,-238,183.4731303,-15.60852456,FALSE,FALSE
C00109 = C05984,C00109 = C05984,2,-235,210.5245232,-9.313949494,FALSE,FALSE
C00966 = C00522,C00966 = C00522,2,-232,210.4403304,-15.6521118,FALSE,FALSE
C00312 = C00379,C00312 = C00379,2,-232,189.9232155,-7.532392947,FALSE,FALSE
C00309 = C00474,C00309 = C00474,2,-232,189.6327763,-6.142131982,FALSE,FALSE
C00273 = C00095,C00273 = C00095,2,-228,194.3069094,-8.276634115,FALSE,FALSE
C00261 = C00556,C00261 = C00556,2,-226,195.8678502,-6.894241022,FALSE,FALSE
C00349 = C01188,C00349 = C01188,2,-223,210.0578618,-9.313949494,FALSE,FALSE
C00084 = C00469,C00084 = C00469,2,-222,200.1979213,-3.30480241,FALSE,FALSE
C00441 = C00263,C00441 = C00263,2,-215,214.763457,-9.325769008,FALSE,FALSE
C00222 = C01013,C00222 = C01013,2,-210,224.4014363,-15.60852456,FALSE,FALSE
C02636 = C00318,C02636 = C00318,2,-209,220.2623263,-9.313949358,FALSE,FALSE
C01412 = C06142,C01412 = C06142,2,-208,213.5192665,-12.67163633,FALSE,FALSE
C00022 = C00256,C00022 = C00256,2,-207,239.5109668,-11.22358014,FALSE,FALSE
C00184 = C00116,C00184 = C00116,2,-206,215.232938,-9.764589548,FALSE,FALSE
C05269 = C05268,C05269 = C05268,2,-206,249.5954716,-8.193906713,FALSE,TRUE
C01545 = C00756,C01545 = C00756,2,-204,217.8051581,-15.60852456,FALSE,FALSE
C06019 = C00644,C06019 = C00644,2,-203,220.0444493,-11.04910351,FALSE,FALSE
C16310 = C08492,C16310 = C08492,2,-198,223.2478628,-15.60852456,FALSE,FALSE
C00111 = C00093,C00111 = C00093,2,-197,242.5915517,-4.694115294,FALSE,FALSE
