KEGG,energy_min,energy_Ha,conf_num,compute_time,energy_solv_Ha
C00001,-76.270483477092,-76.270483477092,1,263.176,-76.26905809
C00014,-56.907408634069,-56.907408634069,1,239.892,-56.90490843
C00022,-341.696354548229,-341.696354548229,1,1131.316,-341.70756974
C00025,-550.952199391833,-550.9517326930181,6,52846.511999999995,-550.9820289882135
C00026,-569.116707490652,-569.1166115877348,5,32484.552,-569.1410118609782
C00031,-685.743815096503,-685.743815096503,1,3930.804,-685.80911499
C00033,-228.614617184064,-228.614617184064,1,851.64,-228.62441582
C00036,-529.882238698277,-529.8821465339062,3,11401.815999999999,-529.9024827299297
C00037,-284.303113027975,-284.303113027975,1,1953.036,-284.31780231
C00042,-456.035313419283,-456.0353036069376,3,7162.911999999999,-456.05680254225103
C00048,-302.449516373134,-302.449516373134,1,891.828,-302.4602619
C00049,-511.714404273528,-511.71438410985184,3,15990.128,-511.7393893620027
C00058,-189.369901702713,-189.369901702713,1,479.688,-189.37829562
C00064,-531.125048898441,-531.1248820248263,4,39995.128000000004,-531.1528986209679
C00065,-398.578170843667,-398.578170843667,1,3228.788,-398.60090295
C00067,-114.258100511909,-114.258100511909,1,380.016,-114.26247528
C00079,-554.075207308982,-554.074538243821,7,60983.696,-554.0962684812122
C00082,-629.152124839567,-629.1516084263407,6,55998.443999999996,-629.1769875208984
C00084,-153.502255696778,-153.502255696778,1,3117.72,-153.50813991
C00085,-1252.637341358943,-1252.6373340348168,4,164650.236,-1252.719303856735
C00092,-1252.638834298028,-1252.6388221187167,3,51039.028000000006,-1252.7220415664272
C00093,-910.909278228457,-910.9090992861773,3,14843.612000000001,-910.9556841099126
C00095,-685.743060399781,-685.742797006916,2,10025.2,-685.8041029971315
C00099,-323.538019369256,-323.538019369256,1,2189.804,-323.55571883
C00109,-380.922970329895,-380.922970329895,1,1855.52,-380.93724475
C00111,-909.746721930571,-909.7462796706851,5,39396.648,-909.7823245751844
C00116,-344.060374766484,-344.0601891189438,3,3565.5960000000005,-344.0933839384626
C00117,-1138.341332228094,-1138.3411202302957,4,157801.668,-1138.4080845327958
C00118,-909.741332788773,-909.740958755524,5,41433.88,-909.782162742684
C00123,-441.219501105534,-441.2191965092241,8,41899.932,-441.24301206625455
C00132,-115.475913454653,-115.475913454653,1,473.276,-115.48469029
C00149,-531.093623765696,-531.093623765696,1,7710.776,-531.1218882
C00160,-303.667018989682,-303.667018989682,1,878.232,-303.6847264
C00164,-380.933357132286,-380.933357132286,1,3493.964,-380.94732866
C00166,-572.236475869636,-572.2364367299397,3,18905.628,-572.2540823238048
C00168,-416.747874192055,-416.747874192055,1,4959.832,-416.76739193
C00181,-571.452841335025,-571.452841335025,1,2645.292,-571.50812668
C00184,-342.857339192892,-342.857339192892,1,4529.344,-342.88046092
C00186,-342.905373412676,-342.905373412676,1,2168.632,-342.92653106
C00197,-984.851028823037,-984.8507843994028,4,17669.879999999997,-984.8925084338429
C00204,-684.567863401844,-684.567384358273,9,67765.784,-684.6129929506617
C00207,-192.746851412677,-192.746851412677,1,574.404,-192.7532447
C00209,-377.559894243935,-377.559894243935,1,689.52,-377.5732181
C00217,-550.954116983461,-550.9538654053083,5,32799.972,-550.9841677134567
C00222,-341.689060790337,-341.689060790337,1,3083.24,-341.70500861
C00232,-380.922520532546,-380.922520532546,1,5976.692,-380.94017363
C00233,-459.381870600388,-459.3815836863458,5,13692.651999999998,-459.4021819622277
C00246,-307.070780361125,-307.07059561600806,3,4595.412,-307.0864925549283
C00247,-685.746572143382,-685.7463254772453,2,18684.024,-685.8114970964533
C00256,-342.905341459423,-342.905341459423,1,4370.512,-342.92651346
C00257,-760.836335881971,-760.835830177579,14,156079.452,-760.9058848271648
C00258,-417.96046062414,-417.96046062414,1,2192.5,-417.99075524
C00261,-344.822059710284,-344.822059710284,1,1436.892,-344.83205419
C00263,-437.816532551372,-437.81653179634276,2,6421.72,-437.84551283050814
C00273,-684.532408328815,-684.5321483555557,8,81576.62,-684.5800039282143
