KEGG,energy_min,energy_Ha,conf_num,compute_time,energy_solv_Ha
C00001,-75.523424928554,-75.523424928554,1,131.672,-75.51352118
C00014,-56.297746335798,-56.297746335798,1,113.992,-56.29087948
C00022,-338.313331376709,-338.313331376709,1,408.812,-338.16297618
C00025,-545.433264440182,-545.4328983142218,6,12150.923999999999,-545.2174116952677
C00026,-563.492726394136,-563.4925160814973,5,4141.2080000000005,-563.2434769519106
C00031,-678.948429474637,-678.948429474637,1,1063.26,-678.74574825
C00033,-226.329300399451,-226.329300399451,1,267.428,-226.24039574
C00036,-524.699989183701,-524.6999749412984,3,4338.072,-524.4615939645009
C00037,-281.451537816664,-281.451537816664,1,779.88,-281.35568982
C00041,-320.241110726533,-320.241110726533,1,2140.816,-320.12281185
C00042,-451.509294120533,-451.5088566139673,4,4475.236,-451.32222092395017
C00048,-299.51045890994,-299.51045890994,1,445.828,-299.37143532
C00049,-506.6333031289,-506.6333004269596,3,6279.724,-506.42582340293103
C00058,-187.526575357956,-187.526575357956,1,277.26,-187.44673613
C00064,-525.72073034474,-525.7203049218252,6,13742.068000000001,-525.5121562390351
C00067,-113.121933177289,-113.121933177289,1,204.408,-113.0710746
C00079,-548.315921916624,-548.3157762861216,7,9991.692,-548.1035062331144
C00082,-622.699661555247,-622.6992868567421,6,12033.856,-622.4589463398751
C00084,-151.919973832941,-151.919973832941,1,330.236,-151.85966799
C00085,-1241.894064623201,-1241.8939721322897,3,21240.52,-1241.577558360173
C00092,-1241.888157598393,-1241.888105292762,3,6295.336,-1241.5732833959585
C00095,-678.949641301421,-678.9494099139303,2,3381.648,-678.7479244126155
C00099,-320.258038997334,-320.257824200631,2,1851.268,-320.14239906694223
C00109,-377.101252285939,-377.101252285939,1,516.14,-376.94051758
C00111,-902.384491375767,-902.3841176059174,8,22677.528,-902.15565299441
C00116,-340.61953569811,-340.61918304218494,3,1274.076,-340.53165118929314
C00117,-1128.732347641338,-1128.7323436367005,4,17458.348,-1128.4504665836173
C00118,-902.374470360757,-902.3739459560002,5,12617.104,-902.1452106781965
C00123,-436.62102020313,-436.62072326731385,9,16523.579999999998,-436.46836172524155
C00132,-114.303000433946,-114.303000433946,1,229.304,-114.27789489
C00133,-320.241655953766,-320.241655953766,1,999.432,-320.12324387
C00149,-525.875999725956,-525.8757466086398,2,3322.484,-525.6653252828568
C00160,-300.69026353775,-300.69026353775,1,349.38,-300.57875995
C00164,-377.110712758158,-377.110712758158,1,3077.48,-376.95307818
C00166,-566.374954263511,-566.3749453979543,3,6518.632,-566.1308239398933
C00168,-412.673315022671,-412.673315022671,1,505.752,-412.50115621
C00181,-565.791949888576,-565.791949888576,1,985.744,-565.62218722
C00184,-339.450764412368,-339.450764412368,1,1655.692,-339.33494328
C00186,-339.485276147879,-339.485276147879,1,987.392,-339.3629347
C00197,-976.782322627374,-976.7817293736274,6,13086.376,-976.5237976244945
C00204,-677.786306088434,-677.7855067056744,9,17937.692000000003,-677.5366851395303
C00207,-190.720303438754,-190.720303438754,1,363.68,-190.64913847
C00209,-373.914814257211,-373.914814257211,1,364.016,-373.7445811
C00217,-545.43391474968,-545.4336505610413,5,8101.364,-545.217090230128
C00222,-338.309412647808,-338.309412647808,1,652.64,-338.16192791
C00232,-377.099920248742,-377.09990734973917,2,1762.24,-376.9432574860613
