KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C01087,O=C(O)CC[C@@H](O)C(=O)O,58,5,True,O[C@H](CCC(O)=O)C(O)=O,0,OC(=O)CC[C@H](C(=O)O)O,0.0,-570.829051684186,-569.84068726,687.7080000000002
C00042,O=C(O)CCC(=O)O,46,4,True,OC(=O)CCC(O)=O,0,OC(=O)CCC(=O)O,0.0,-456.4407483422309,-455.63443982,1197.276
C00064,NC(=O)CC[C@H](N)C(=O)O,58,5,True,NC(=O)CC[C@H]([NH3+])C(O)=O,1,NC(=O)CC[C@@H](C(=O)O)[NH3+],1.0,-531.556757552786,-530.59017324,1175.36
C00041,C[C@H](N)C(=O)O,36,3,True,C[C@H]([NH3+])C(O)=O,1,C[C@H]([NH3+])C(=O)O,1.0,-323.79526532922,-323.20597036,315.6
C00026,O=C(O)CCC(=O)C(=O)O,56,5,True,OC(=O)CCC(=O)C(O)=O,0,OC(=O)CCC(=O)C(=O)O,0.0,-569.615435007062,-568.64087233,1385.7479999999996
C00535,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,116,19,True,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,0,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,0.0,-890.008352604312,-888.15608361,8514.464
C00414,O=C1CCCCC1,40,6,True,O=C1CCCCC1,0,O=C1CCCCC1,0.0,-309.433532314021,-308.81184538,463.78
C00468,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,106,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C,0.0,-848.3840060767099,-846.65856797,5166.432
C00258,O=C(O)[C@H](O)CO,42,3,True,OC[C@@H](O)C(O)=O,0,OC[C@H](C(=O)O)O,0.0,-418.34633459309197,-417.63369999,493.612
C00232,O=CCCC(=O)O,40,4,True,OC(=O)CCC=O,0,O=CCCC(=O)O,0.0,-381.245336099775,-380.57502438,370.384
C00209,O=C(O)C(=O)O,34,2,True,OC(=O)C(O)=O,0,OC(=O)C(=O)O,0.0,-377.9184456548021,-377.30531259,598.7
C00940,NC(=O)CCC(=O)C(=O)O,56,5,True,NC(=O)CCC(=O)C(O)=O,0,NC(=O)CCC(=O)C(=O)O,0.0,-549.753554582563,-548.79153148,973.772
C00392,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.0,-687.553448719991,-686.32844084,1980.592
C00160,O=C(O)CO,30,2,True,OCC(O)=O,0,OCC(=O)O,0.0,-303.95061791574904,-303.43980879,234.96
C00256,C[C@@H](O)C(=O)O,36,3,True,C[C@@H](O)C(O)=O,0,OC(=O)[C@H](O)C,0.0,-343.203483539947,-342.60408374,265.06
C00552,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,58,4,True,O[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,O[C@H]([C@@H](C(=O)O)O)C(=O)O,0.0,-606.7216207727,-605.70667559,849.64
C19838,N[C@@H](C(=O)O)[C@H](O)C(=O)O,58,4,True,[NH3+][C@H]([C@H](O)C(O)=O)C(O)=O,1,OC(=O)[C@@H]([C@@H](C(=O)O)O)[NH3+],1.0,-587.305733590605,-586.29933496,2518.66
C00049,N[C@@H](CC(=O)O)C(=O)O,52,4,True,[NH3+][C@@H](CC(O)=O)C(O)=O,1,OC(=O)C[C@@H](C(=O)O)[NH3+],1.0,-512.169275589491,-511.27821443,539.96
C00217,N[C@H](CCC(=O)O)C(=O)O,58,5,True,[NH3+][C@H](CCC(O)=O)C(O)=O,1,OC(=O)CC[C@H](C(=O)O)[NH3+],1.0,-551.407381220008,-550.42772262,1195.972
