KEGG,energy_min,energy_Ha,conf_num,energy_solv_Ha
C00764,-685.9856358496279,-685.9849870099353,10,-685.9849870099353
C00770,-761.1197880065657,-761.1192559906258,10,-761.1192559906258
C00772,-534.5983742777007,-534.598074102444,10,-534.598074102444
C00792,-606.3242997450241,-606.3239022659906,10,-606.3239022659906
C00793,-721.316909799047,-721.3166050412489,10,-721.3166050412489
C00794,-687.181369100094,-687.1811716194762,10,-687.1811716194762
C00795,-685.9871089671877,-685.9864645578311,10,-685.9864645578311
C00797,-135.354913596118,-135.354913596118,1,-135.354913596118
C00800,-761.1176184443276,-761.1171997610428,10,-761.1171997610428
C00802,-526.281525918312,-526.2812097403691,10,-526.2812097403691
C00803,-346.35667452789596,-346.35653126956,10,-346.35653126956
C00804,-265.43199770521585,-265.4318460079686,2,-265.4318460079686
C00805,-495.1126794314035,-495.1126280384933,11,-495.1126280384933
C00810,-307.1077785310194,-307.1074734829303,11,-307.1074734829303
C00817,-761.1201419053083,-761.119652497164,10,-761.119652497164
C00818,-835.0558203948942,-835.055082111123,10,-835.055082111123
C00819,-531.2566435833692,-531.2562251111958,10,-531.2562251111958
C00820,-437.95138163694605,-437.95100272503026,10,-437.95100272503026
C00830,-490.83426531051293,-490.83383610534685,10,-490.83383610534685
C00835,-847.4281136858376,-847.4278060457816,10,-847.4278060457816
C00846,-608.5397794999283,-608.5390073597395,10,-608.5390073597395
C00854,-310.4461849149815,-310.44586217573186,10,-310.44586217573186
C00855,-799.7602519370209,-799.7598585870628,10,-799.7598585870628
C00860,-474.71426016318463,-474.71390039129,10,-474.71390039129
C00870,-511.0146732354863,-511.0146494798951,10,-511.0146494798951
C00872,-472.6538375914328,-472.6535492753592,10,-472.6535492753592
C00880,-761.119393392934,-761.1191638984799,11,-761.1191638984799
C00902,-459.4768776975666,-459.47617686875554,10,-459.47617686875554
C00905,-759.9225284648851,-759.9217628629256,10,-759.9217628629256
C00937,-267.87285355771223,-267.87211428116404,14,-267.87211428116404
C00940,-549.4466645742698,-549.4462522137278,10,-549.4462522137278
C00944,-722.8512059489092,-722.8507560839215,10,-722.8507560839215
C00951,-849.0425416088987,-849.0421040597549,10,-849.0421040597549
C00956,-590.337267705694,-590.3368822080499,10,-590.3368822080499
C00957,-739.5067577504742,-739.5061103432348,10,-739.5061103432348
C00962,-685.9881226004367,-685.987422569725,15,-685.987422569725
C00966,-534.5847172268171,-534.5844629096945,10,-534.5844629096945
C00969,-267.8697507099489,-267.868983180958,12,-267.868983180958
C00975,-605.1785989800959,-605.1785154544425,10,-605.1785154544425
C00984,-685.9809754282801,-685.9802022593841,10,-685.9802022593841
C00986,-230.28729456104284,-230.28677140510743,5,-230.28677140510743
C00989,-382.24025877037815,-382.2399247989832,12,-382.2399247989832
C00993,-570.476941177033,-570.4764779270258,10,-570.4764779270258
C01005,-965.2354314656341,-965.235100695088,10,-965.235100695088
C01012,-459.47821946104443,-459.477658988672,10,-459.477658988672
C01013,-343.01647251677264,-343.0161904729613,15,-343.0161904729613
C01015,-475.9657282704658,-475.96547152116204,14,-475.96547152116204
C01018,-610.876877138213,-610.8760152931056,10,-610.8760152931056
C01019,-610.8842158212618,-610.8834360792533,11,-610.8834360792533
C01020,-511.14735756561646,-511.14722714832993,10,-511.14722714832993
C01035,-511.3974655352106,-511.39730071507597,10,-511.39730071507597
C01053,-534.5908865022071,-534.5902024610557,10,-534.5902024610557
C01059,-397.5016699048621,-397.5016699048621,1,-397.5016699048621
C01062,-759.9180541537186,-759.9177840564627,18,-759.9177840564627
C01068,-1139.8030768210865,-1139.8025515860365,8,-1139.8025515860365
C01073,-475.5443822775733,-475.54370949833157,10,-475.54370949833157
C01087,-570.5116188985037,-570.5111712950201,14,-570.5111712950201
C01088,-609.7369581903077,-609.7361307386692,10,-609.7361307386692
C01089,-382.24676992239165,-382.2460431584318,12,-382.2460431584318
C01096,-1254.1349330130197,-1254.1345606783404,10,-1254.1345606783404
C01097,-1252.9425319628374,-1252.9424668199435,10,-1252.9424668199435
C01100,-1041.6575795987314,-1041.6568259035228,10,-1041.6568259035228
C01108,-457.05707811349623,-457.05686820060504,10,-457.05686820060504
C01110,-475.9699010932096,-475.96912167623856,10,-475.96912167623856
C01113,-1252.9365131663242,-1252.936364324909,10,-1252.936364324909
C01115,-684.8002095297286,-684.7994390484794,10,-684.7994390484794
C01125,-458.26679593472613,-458.26679593472613,1,-458.26679593472613
C01127,-644.4075854775224,-644.4068572949527,10,-644.4068572949527
C01146,-416.91191355356887,-416.9117009488915,16,-416.9117009488915
C01147,-384.35849989004157,-384.3584129870347,10,-384.3584129870347
C01149,-405.3462538206563,-405.34549125998154,10,-405.34549125998154
C01151,-1705.1037438128476,-1705.1033227981288,10,-1705.1033227981288
C01157,-475.969437267932,-475.96922516225794,10,-475.96922516225794
C01165,-475.9682190259917,-475.96733711922826,14,-475.96733711922826
C01172,-1252.9393263230863,-1252.9389703696697,18,-1252.9389703696697
C01179,-647.4524883077561,-647.45232457739,10,-647.45232457739
C01180,-817.9512925451388,-817.9504438763115,10,-817.9504438763115
C01181,-480.4933704227821,-480.49233650041276,11,-480.49233650041276
C01186,-497.0054903953722,-497.0050856054996,10,-497.0050856054996
C01188,-382.24199007824575,-382.2415947216349,12,-382.2415947216349
C01214,-666.6048087345222,-666.6041127461115,15,-666.6041127461115
C01216,-684.8011477123871,-684.8002334492846,10,-684.8002334492846
C01218,-1326.853157632548,-1326.8526866681127,17,-1326.8526866681127
C01236,-1251.7510414415706,-1251.750747291254,10,-1251.750747291254
C01250,-627.8883956749693,-627.8880146095264,10,-627.8880146095264
C01267,-1059.855435578716,-1059.854951101647,10,-1059.854951101647
C01295,-723.9940446590493,-723.993206562838,10,-723.993206562838
C01298,-795.7561781692722,-795.7555598477467,10,-795.7555598477467
C01380,-229.85081658778347,-229.84983228175636,10,-229.84983228175636
C01390,-271.1902138866313,-271.1898552535877,10,-271.1898552535877
C01403,-346.0383833038518,-346.038348085925,4,-346.038348085925
C01407,-231.7204923268155,-231.7204923268155,1,-231.7204923268155
C01412,-231.98680002231038,-231.98621253244545,12,-231.98621253244545
C01424,-645.3329750123504,-645.3328262200605,10,-645.3328262200605
C01438,-40.418270500709156,-40.418270500709156,1,-40.418270500709156
C01452,-685.9764806791924,-685.9760313393449,10,-685.9760313393449
C01455,-270.9465322879317,-270.94650305179175,2,-270.94650305179175
C01467,-346.06039507577566,-346.0603198461909,10,-346.0603198461909
C01468,-346.0592417395739,-346.0591982780608,10,-346.0591982780608
C01471,-191.54046604356904,-191.5403969220511,2,-191.5403969220511
C01488,-571.640479278418,-571.6398736469599,10,-571.6398736469599
C01489,-687.1799630077609,-687.1797045409447,10,-687.1797045409447
C01502,-421.1505317477012,-421.15047776935637,10,-421.15047776935637
C01507,-687.1803018103298,-687.1800175361036,10,-687.1800175361036
C01510,-571.6498812114548,-571.6493075178612,10,-571.6493075178612
C01542,-346.06057459004643,-346.06005759790855,10,-346.06005759790855
C01545,-388.87585728992366,-388.87540015107476,10,-388.87540015107476
C01546,-417.83395627958123,-417.83366184180653,10,-417.83366184180653
C01569,-572.8465380918233,-572.8460819248256,10,-572.8460819248256
C01570,-441.28879949323516,-441.2883151345371,10,-441.2883151345371
C01582,-685.9732570461028,-685.9727068752301,10,-685.9727068752301
C01585,-385.57942219725584,-385.579152724573,10,-385.579152724573
C01620,-532.4544107759239,-532.4537442307816,10,-532.4537442307816
C01672,-308.7373627209128,-308.73650508801154,10,-308.73650508801154
C01680,-686.0124220697677,-686.0118820082581,10,-686.0118820082581
C01697,-687.1799405730586,-687.1798087597095,10,-687.1798087597095
C01719,-685.982414947969,-685.981878682423,10,-685.981878682423
C01720,-686.0123013816512,-686.011855218886,10,-686.011855218886
C01722,-687.1818319437141,-687.1814396589601,10,-687.1814396589601
C01751,-381.94891243486165,-381.94830432161785,10,-381.94830432161785
C01769,-307.10776750808753,-307.1075406025979,11,-307.1075406025979
C01799,-402.0649144204873,-402.06417804079877,10,-402.06417804079877
C01801,-496.54182262752784,-496.54126207230723,10,-496.54126207230723
C01825,-685.9884690315693,-685.9877829350199,16,-685.9877829350199
C01826,-402.0648172236299,-402.0641100719197,10,-402.0641100719197
C01845,-193.9726249669328,-193.97250718408569,3,-193.97250718408569
C01854,-647.2012374703193,-647.2007939129745,14,-647.2007939129745
C01877,-474.759997325939,-474.7597656893581,10,-474.7597656893581
C01880,-384.36240604133803,-384.3622797496566,10,-384.3622797496566
C01888,-248.4856344759446,-248.4854364611922,10,-248.4854364611922
C01904,-572.849015888193,-572.8483814485783,10,-572.8483814485783
C01905,-492.0386834966774,-492.03828447865396,10,-492.03828447865396
C01924,-645.5479270577362,-645.5477033789684,10,-645.5477033789684
C01929,-473.4965323293653,-473.49597749762626,10,-473.49597749762626
C01933,-441.28753478829026,-441.28703138470416,10,-441.28703138470416
C01987,-362.5402633025769,-362.54018789665776,10,-362.54018789665776
C01988,-511.0112404790362,-511.0112260457338,10,-511.0112260457338
C01991,-382.24025877037815,-382.23995062040325,10,-382.23995062040325
C02001,-192.73984809644466,-192.73959919734506,10,-192.73959919734506
C02020,-271.21343970932736,-271.2129686740926,10,-271.2129686740926
C02022,-457.311312799796,-457.31067796990425,10,-457.31067796990425
C02024,-759.9242342002517,-759.9236034324596,10,-759.9236034324596
C02043,-704.8533796959412,-704.8527500660036,10,-704.8527500660036
C02045,-457.3114812799796,-457.3107284106181,10,-457.3107284106181
C02095,-610.8844704164077,-610.8837148877994,10,-610.8837148877994
C02115,-437.9524103185606,-437.95173195943715,10,-437.95173195943715
C02123,-648.9566607336935,-648.9561611291235,10,-648.9561611291235
C02124,-765.9253972398847,-765.9253755996683,3,-765.9253755996683
C02126,-491.60184583512614,-491.60180559579976,9,-491.60180559579976
C02129,-459.4946830600309,-459.49374233740804,10,-459.49374233740804
C02132,-494.1659103918663,-494.16560049489846,15,-494.16560049489846
C02170,-456.18057420439516,-456.18030430726645,10,-456.18030430726645
C02183,-457.06301052413505,-457.0629079009346,10,-457.0629079009346
C02220,-587.4351304074836,-587.4348809909471,10,-587.4348809909471
C02223,-271.2106806552884,-271.2103164055768,10,-271.2103164055768
C02235,-586.125054112285,-586.1250378659679,10,-586.1250378659679
C02236,-1042.567494266227,-1042.5672552224617,10,-1042.5672552224617
C02261,-362.84208465203744,-362.8416980945161,11,-362.8416980945161
C02262,-666.5916606332967,-666.5910223079103,10,-666.5910223079103
C02266,-570.464290862297,-570.4636537939793,10,-570.4636537939793
C02287,-492.05776383483936,-492.05753938117005,16,-492.05753938117005
C02323,-421.16789355070046,-421.1676400373817,15,-421.1676400373817
C02356,-362.8420699447021,-362.8417797004448,11,-362.8417797004448
C02360,-609.7353039473475,-609.7350314041144,10,-609.7350314041144
C02362,-510.2232360424535,-510.2226562779001,10,-510.2226562779001
C02372,-362.5416448168156,-362.54157341935684,10,-362.54157341935684
C02375,-841.0368403515482,-841.0367174209766,10,-841.0367174209766
C02378,-441.2964292234387,-441.2956309542037,10,-441.2956309542037
C02420,-210.93981131137355,-210.93981131137355,1,-210.93981131137355
C02426,-342.97545860942455,-342.97500018518093,10,-342.97500018518093
C02431,-610.8730517314465,-610.8728073983,10,-610.8728073983
C02457,-269.0725426383643,-269.0722514046852,10,-269.0722514046852
C02479,-571.6545791891763,-571.6542354665136,10,-571.6542354665136
C02486,-441.2960006995905,-441.2955453354263,10,-441.2955453354263
C02497,-305.82745219837136,-305.827302555032,3,-305.827302555032
C02501,-607.2911398830298,-607.290780083785,10,-607.290780083785
C02502,-322.87863064174275,-322.87863064174275,1,-322.87863064174275
C02518,-550.8170553823843,-550.816968363108,10,-550.816968363108
C02522,-610.8769566923236,-610.876562799245,10,-610.876562799245
C02532,-965.2353804768051,-965.2351012313306,10,-965.2351012313306
C02627,-572.0956763605361,-572.0953005397496,11,-572.0953005397496
C02632,-307.1357017975809,-307.1355763184482,12,-307.1355763184482
C02636,-554.3927743749103,-554.392135874998,10,-554.392135874998
C02637,-646.5188559783909,-646.5183495294971,10,-646.5183495294971
C02640,-253.0239580038565,-253.0235922759289,5,-253.0235922759289
C02647,-436.248681557266,-436.24856081016014,10,-436.24856081016014
C02648,-304.61950398559384,-304.61950398559384,1,-304.61950398559384
C02652,-646.5134763222896,-646.5130944359498,10,-646.5130944359498
C02656,-573.8538188538828,-573.8533610704957,10,-573.8533610704957
C02659,-286.04735747000046,-286.04735747000046,1,-286.04735747000046
C02666,-611.5107243438351,-611.5106074315916,10,-611.5106074315916
C02669,-684.7976716721646,-684.7969142613549,10,-684.7969142613549
C02670,-683.5913400168921,-683.590996563311,10,-683.590996563311
C02714,-421.4325152730635,-421.4321009101606,10,-421.4321009101606
C02720,-362.85034467339165,-362.84966217054085,10,-362.84966217054085
C02723,-308.727022200443,-308.7262306744552,10,-308.7262306744552
C02779,-684.7792983840894,-684.778432755224,10,-684.778432755224
C02780,-758.6995997657407,-758.699078186236,10,-758.699078186236
C02781,-610.8764201112333,-610.8756208068091,10,-610.8756208068091
C02782,-686.017250003984,-686.0168770536596,10,-686.0168770536596
C02783,-496.54740680945326,-496.5471191615531,10,-496.5471191615531
C02798,-908.7364019107265,-908.7360002889932,10,-908.7360002889932
C02800,-494.1585640754729,-494.15766851465486,12,-494.15766851465486
C02804,-421.46313794839926,-421.46288287262036,13,-421.46288287262036
C02810,-1254.13557917324,-1254.1349890353379,10,-1254.1349890353379
C02814,-457.05688715239603,-457.0565579772473,10,-457.0565579772473
C02835,-453.7183869340728,-453.7180932296086,10,-453.7180932296086
C02845,-231.99823513410144,-231.99781755947666,10,-231.99781755947666
C02884,-2272.0584228299153,-2272.0582467044565,7,-2272.0582467044565
C02888,-1252.9256731382768,-1252.925154996151,10,-1252.925154996151
C02895,-1139.8037971219583,-1139.803316303882,10,-1139.803316303882
C02903,-287.70066322927124,-287.70026415699874,10,-287.70026415699874
C02912,-269.07977470478556,-269.07905703311627,10,-269.07905703311627
C02923,-421.1715270625169,-421.1713878504618,10,-421.1713878504618
C02928,-645.5727253812688,-645.5720889456892,12,-645.5720889456892
C02946,-514.7673201383245,-514.7671109045012,10,-514.7671109045012
C02953,-848.6302695813612,-848.629481965855,10,-848.629481965855
C02991,-609.6931243741136,-609.6927803076156,10,-609.6927803076156
C02994,-570.4666344392917,-570.4658888237325,10,-570.4658888237325
C03030,-602.336307599879,-602.3362865553121,10,-602.3362865553121
C03044,-308.3067360791063,-308.3059892705826,10,-308.3059892705826
C03056,-397.9974500772896,-397.997129881436,10,-397.997129881436
C03059,-513.0555915204538,-513.0552767404795,10,-513.0552767404795
C03064,-531.2493873229112,-531.2489887490361,10,-531.2489887490361
C03066,-626.2162472821151,-626.2158387976767,10,-626.2158387976767
C03067,-419.96525058405444,-419.96512794607423,11,-419.96512794607423
C03079,-626.21853032621,-626.2179572408265,10,-626.2179572408265
C03088,-528.3931855715448,-528.3926911712124,11,-528.3926911712124
C03107,-684.8003227996368,-684.7998526548264,10,-684.7998526548264
C03134,-248.02906985227327,-248.02899129369467,7,-248.02899129369467
