KEGG,energy_min,energy_Ha,conf_num,energy_solv_Ha
C00001,-76.31856157989513,-76.31856157989513,1,-76.31856157989513
C00014,-56.92087878105529,-56.92087878105529,1,-56.92087878105529
C00022,-341.8093544341923,-341.8089266825285,10,-341.8089266825285
C00025,-551.1152234482319,-551.1149005532635,13,-551.1149005532635
C00026,-569.3007943459069,-569.3005787126223,11,-569.3005787126223
C00031,-685.9823273684882,-685.9817307006118,15,-685.9817307006118
C00033,-228.6895659814186,-228.68944278850017,10,-228.68944278850017
C00036,-530.077077321477,-530.0764467123001,16,-530.0764467123001
C00037,-284.3955984350847,-284.3954189362977,10,-284.3954189362977
C00041,-323.6204044381763,-323.62003199370827,13,-323.62003199370827
C00042,-456.18494046947455,-456.1843992719921,11,-456.1843992719921
C00047,-497.00127119408455,-497.0004188474276,13,-497.0004188474276
C00048,-302.57440219916816,-302.57405803059254,4,-302.57405803059254
C00049,-511.8910085321349,-511.88996311967037,16,-511.88996311967037
C00058,-189.45654091568264,-189.45630228791902,2,-189.45630228791902
C00062,-606.3241028844162,-606.3234543703695,14,-606.3234543703695
C00064,-531.2565987585856,-531.2561127345185,10,-531.2561127345185
C00065,-398.7255891858297,-398.7252412988312,10,-398.7252412988312
C00067,-114.30622325078485,-114.30622325078485,1,-114.30622325078485
C00073,-799.7602589966693,-799.7598992635939,10,-799.7598992635939
C00077,-457.7766435929308,-457.7761847456448,10,-457.7761847456448
C00079,-554.1506549298019,-554.1499995235702,10,-554.1499995235702
C00082,-629.2640762059569,-629.2634447528288,10,-629.2634447528288
C00084,-153.54196743271024,-153.54190339565588,5,-153.54190339565588
C00085,-1252.9411994868608,-1252.941128157016,10,-1252.941128157016
C00090,-381.9456596500454,-381.9455934070113,10,-381.9455934070113
C00092,-1252.93776895667,-1252.9373721192978,10,-1252.9373721192978
C00093,-911.1350814967091,-911.1348781808,10,-911.1348781808
C00095,-685.9822584245669,-685.9816639074285,10,-685.9816639074285
C00097,-721.3182871396472,-721.3176292906836,10,-721.3176292906836
C00099,-323.62619418654685,-323.6258074662902,13,-323.6258074662902
C00108,-475.700062668324,-475.6998389312825,10,-475.6998389312825
C00109,-381.03212198211986,-381.0316311657714,10,-381.0316311657714
C00111,-909.9296823620342,-909.9287849604854,19,-909.9287849604854
C00114,-328.10129899284476,-328.10101182918254,10,-328.10101182918254
C00116,-344.1840307277971,-344.18338892137467,11,-344.18338892137467
C00118,-909.927536255996,-909.9270277016087,16,-909.9270277016087
C00121,-571.6469298290067,-571.6463922885491,10,-571.6463922885491
C00123,-441.2888121751048,-441.2882424816633,10,-441.2882424816633
C00124,-685.9809754282801,-685.9802022591864,10,-685.9802022591864
C00132,-115.51759156029385,-115.51759156029385,1,-115.51759156029385
C00133,-323.6204264218897,-323.62009240143124,11,-323.62009240143124
C00134,-269.5134193287757,-269.5125447211095,10,-269.5125447211095
C00135,-548.6442566301732,-548.6436938476754,10,-548.6436938476754
C00137,-686.0008516135201,-686.0000223860451,10,-686.0000223860451
C00141,-420.2555768800497,-420.25531621494423,12,-420.25531621494423
C00146,-306.8342230641743,-306.83421009851963,4,-306.83421009851963
C00148,-400.8598705980781,-400.85973368104646,10,-400.85973368104646
C00149,-531.2883446367389,-531.2880454741908,14,-531.2880454741908
C00152,-492.0386985530111,-492.0383109310512,10,-492.0383109310512
C00156,-495.1116542397731,-495.11162286580185,14,-495.11162286580185
C00158,-758.7868892304505,-758.7865948016425,10,-758.7865948016425
C00159,-685.9838517394146,-685.9829813076692,10,-685.9829813076692
C00160,-303.79091464199774,-303.7905626114898,10,-303.7905626114898
C00163,-267.91196007872384,-267.9114588213113,14,-267.9114588213113
C00164,-381.0454125798792,-381.04443908374157,10,-381.04443908374157
C00166,-572.3396345635927,-572.3391824700454,10,-572.3391824700454
C00168,-416.9079761135281,-416.9076596680736,17,-416.9076596680736
C00178,-453.2883219837134,-453.2882636798506,4,-453.2882636798506
C00179,-418.0612585408997,-418.06054863432075,10,-418.06054863432075
C00180,-419.9960062819716,-419.9959724929658,7,-419.9959724929658
C00181,-571.6565001577665,-571.6555495413389,10,-571.6555495413389
C00183,-402.06571030421827,-402.06532164160467,10,-402.06532164160467
C00184,-342.9781640308521,-342.9778327228129,16,-342.9778327228129
C00186,-343.0185853946551,-343.0184021291158,13,-343.0184021291158
C00188,-437.95138585679905,-437.95100699468236,11,-437.95100699468236
C00189,-210.46039456901087,-210.4602965884709,10,-210.4602965884709
C00191,-759.9226489522079,-759.9223576830836,10,-759.9223576830836
C00193,-344.8517890360313,-344.8517890360313,1,-344.8517890360313
C00196,-570.224312991028,-570.2242389977624,10,-570.2242389977624
C00197,-985.0746340695765,-985.074305558863,19,-985.074305558863
C00198,-684.7978042995331,-684.7968844197163,10,-684.7968844197163
C00199,-1138.5985978629822,-1138.598093141886,5,-1138.598093141886
C00204,-684.802850784848,-684.8022750275895,10,-684.8022750275895
C00207,-192.77567434303836,-192.77556911555885,10,-192.77556911555885
C00209,-377.7182273748625,-377.7177138102754,10,-377.7177138102754
C00216,-571.6546685232108,-571.6539794214194,10,-571.6539794214194
C00217,-551.1124091392967,-551.1120679768622,10,-551.1120679768622
C00218,-96.13111948893244,-96.13111948893244,1,-96.13111948893244
C00221,-685.9850592086182,-685.9843356088467,10,-685.9843356088467
C00222,-341.8092273031506,-341.80908277818213,14,-341.80908277818213
C00230,-570.2222105974407,-570.2220559138409,14,-570.2220559138409
C00231,-1138.5965956558462,-1138.59603649644,13,-1138.59603649644
C00232,-381.0367307596692,-381.0359960019227,15,-381.0359960019227
C00233,-459.47854190212104,-459.47796307922516,10,-459.47796307922516
C00245,-757.9315043983363,-757.9314395608955,10,-757.9314395608955
C00246,-307.13419345508436,-307.1338907534621,16,-307.1338907534621
C00247,-685.9880267979794,-685.9872521987747,10,-685.9872521987747
C00250,-589.988016501729,-589.9876978760277,10,-589.9876978760277
C00253,-436.4671336504597,-436.4669786148053,10,-436.4669786148053
C00256,-343.01857995091717,-343.0182780557129,16,-343.0182780557129
C00257,-761.1243369189336,-761.1241320884889,10,-761.1241320884889
C00258,-418.1221342655894,-418.1215842890428,14,-418.1215842890428
C00259,-571.6545791891763,-571.6542354665887,10,-571.6542354665887
C00261,-344.8517890360313,-344.8517890360313,1,-344.8517890360313
C00263,-437.9471929754107,-437.9464955252954,12,-437.9464955252954
C00266,-228.64514778569267,-228.64420015319817,10,-228.64420015319817
C00267,-685.9823273684882,-685.9817307006118,15,-685.9817307006118
C00273,-684.770364179057,-684.7697169906531,10,-684.7697169906531
C00275,-1252.936134482319,-1252.9357502959945,10,-1252.9357502959945
C00279,-1024.260104543354,-1024.259771774653,10,-1024.259771774653
C00282,-1.1673838118181383,-1.1673838118181383,1,-1.1673838118181383
C00292,-287.4281233382735,-287.4281018753268,2,-287.4281018753268
C00296,-724.0560934263996,-724.0558631920909,10,-724.0558631920909
C00309,-571.6478629774824,-571.6471914553557,10,-571.6471914553557
C00310,-571.6512458399069,-571.650493089212,10,-571.650493089212
C00311,-758.7834423244252,-758.7825537883532,10,-758.7825537883532
C00312,-571.6517156125002,-571.6510990865676,10,-571.6510990865676
C00314,-591.2047391435992,-591.2045012169465,10,-591.2045012169465
C00318,-555.5992836719734,-555.5990354154912,12,-555.5990354154912
C00322,-608.5263056620612,-608.5256965550792,10,-608.5256965550792
C00331,-703.6439451865308,-703.6434740359915,10,-703.6434740359915
C00333,-759.9220930375612,-759.9216999681654,10,-759.9216999681654
C00334,-362.84978096763405,-362.8494934781917,10,-362.8494934781917
C00345,-1328.0671036190658,-1328.066698648901,10,-1328.066698648901
C00349,-381.03500844448695,-381.0343898905009,10,-381.0343898905009
C00379,-572.850420514414,-572.8497238956136,10,-572.8497238956136
C00383,-416.9564067154309,-416.95619970230626,17,-416.95619970230626
C00388,-360.38190072668164,-360.38152772424,10,-360.38152772424
C00392,-687.1825914853947,-687.1823873282369,10,-687.1823873282369
C00402,-511.88906424917536,-511.8888392807159,15,-511.8888392807159
C00407,-441.2874022135106,-441.2870723507539,10,-441.2870723507539
C00414,-309.2476647081321,-309.2476381099593,10,-309.2476381099593
C00418,-535.8014413857946,-535.801070038406,10,-535.801070038406
C00424,-267.8728036764354,-267.87204443468517,14,-267.87204443468517
C00430,-475.9734420598875,-475.97309382433514,10,-475.97309382433514
C00431,-402.073203542573,-402.07297152724055,14,-402.07297152724055
C00433,-494.15366183009036,-494.1534947260727,14,-494.1534947260727
C00441,-436.74416114165507,-436.7434064785475,13,-436.7434064785475
C00468,-847.8479727303151,-847.847552093812,10,-847.847552093812
C00469,-154.74432765661106,-154.74430776883636,3,-154.74430776883636
C00472,-380.7153491370655,-380.7153491370655,1,-380.7153491370655
C00474,-572.8494545951459,-572.8486536683611,10,-572.8486536683611
C00479,-192.76466794154675,-192.7640658685351,13,-192.7640658685351
C00489,-495.4081852990391,-495.40763749251704,12,-495.40763749251704
C00493,-647.7199245860623,-647.7194010735625,10,-647.7194010735625
C00497,-531.2884178658508,-531.2879702603957,11,-531.2879702603957
C00502,-646.7859238514127,-646.7854536951983,10,-646.7854536951983
C00503,-458.51556899651007,-458.5153113300561,10,-458.5153113300561
C00506,-946.1958600293224,-946.19573219929,10,-946.19573219929
C00508,-571.6502069528773,-571.6494803393362,10,-571.6494803393362
C00511,-266.6842364966296,-266.68388303082054,10,-266.68388303082054
C00514,-761.1211580755686,-761.1209069943608,10,-761.1209069943608
C00515,-457.77667153511504,-457.77624513125573,10,-457.77624513125573
C00522,-535.7976726203567,-535.7972335518292,10,-535.7972335518292
C00530,-381.9448890519673,-381.9448492988456,10,-381.9448492988456
C00532,-572.8490825198005,-572.8485101265153,10,-572.8485101265153
C00534,-571.3574990008127,-571.357309291164,10,-571.357309291164
C00545,-646.785314573473,-646.784963150312,10,-646.784963150312
C00546,-266.66541867380596,-266.665245544261,8,-266.665245544261
C00552,-606.3916644483753,-606.3912771249697,15,-606.3912771249697
C00555,-287.70066322927124,-287.70026415699874,10,-287.70026415699874
C00556,-346.05124737613744,-346.0510051345176,13,-346.0510051345176
C00557,-270.01954828608314,-270.01954281099034,3,-270.01954281099034
C00558,-759.9246902758522,-759.9244737435365,10,-759.9244737435365
C00568,-475.70077716849136,-475.7006874054094,10,-475.7006874054094
C00571,-291.05452404105114,-291.05434444793775,10,-291.05434444793775
C00576,-326.89125021115206,-326.89113431613447,14,-326.89113431613447
C00577,-342.97547620595685,-342.9749992065978,12,-342.9749992065978
C00583,-269.0792844114038,-269.07866524725586,10,-269.07866524725586
C00586,-610.8755874822713,-610.8747914078623,10,-610.8747914078623
C00587,-495.10949038102984,-495.1094378466637,12,-495.1094378466637
C00590,-612.70719312999,-612.7071316682376,10,-612.7071316682376
C00593,-776.1115311692243,-776.111516697632,11,-776.111516697632
C00597,-985.0746340695765,-985.0743015312805,10,-985.0743015312805
C00603,-527.4723569026788,-527.4719457912341,10,-527.4719457912341
C00606,-871.063869865022,-871.063589873955,10,-871.063589873955
C00618,-759.9119557377571,-759.9116304483086,10,-759.9116304483086
C00620,-1138.5927472916767,-1138.592129975741,10,-1138.592129975741
C00624,-703.0351307198291,-703.0347094281333,10,-703.0347094281333
C00628,-570.2232429554907,-570.2231496946087,13,-570.2231496946087
C00632,-550.8120755430192,-550.8119881858127,10,-550.8119881858127
C00633,-419.96758039871884,-419.96751974843266,11,-419.96751974843266
C00644,-1254.1365863285048,-1254.1361913922935,10,-1254.1361913922935
C00652,-570.4669207964813,-570.4664813607088,10,-570.4664813607088
C00661,-909.9275362496215,-909.9268932275492,10,-909.9268932275492
C00666,-685.2642983012223,-685.2638908146874,10,-685.2638908146874
C00668,-1252.93605712897,-1252.9355817606643,10,-1252.9355817606643
C00671,-459.47752859715376,-459.47685703026843,10,-459.47685703026843
C00672,-1063.490515904129,-1063.489897679762,10,-1063.489897679762
C00673,-1063.5006705215853,-1063.5005128331197,9,-1063.5005128331197
C00679,-758.7406171216395,-758.7401116961951,10,-758.7401116961951
C00680,-685.2645296951443,-685.2640996826356,10,-685.2640996826356
C00682,-532.1470984510207,-532.1469698662893,10,-532.1469698662893
C00684,-570.4710145718793,-570.4706860998393,10,-570.4706860998393
C00691,-684.7947071058629,-684.7943178189574,10,-684.7943178189574
C00719,-402.03638070309637,-402.0363509460423,10,-402.0363509460423
C00727,-421.17546616946345,-421.17504317121563,10,-421.17504317121563
C00739,-497.00134643750704,-497.0006558421846,10,-497.0006558421846
C00740,-398.72561694793706,-398.7248778495912,12,-398.7248778495912
C00741,-305.9003979028223,-305.9002046043989,10,-305.9002046043989
C00747,-248.20037376934232,-248.20037376934232,1,-248.20037376934232
C00756,-390.07898853086004,-390.0783176657929,10,-390.0783176657929
C00763,-400.8601940271868,-400.86002262005024,10,-400.86002262005024
