KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-761.5078047108908,-760.17378387,1868.664
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-571.9438221569139,-570.93391951,780.548
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-849.5600611756779,-847.80980356,7235.448
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-531.50698603567,-530.59568908,641.456
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-646.856905950018,-645.71070136,1063.32
C00233,CC(C)CC(=O)C(=O)O,52,6,True,CC(C)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)C,0.0,-459.718953293245,-458.8544074,1011.74
C00164,CC(=O)CC(=O)O,40,4,True,CC(=O)CC(O)=O,0,CC(=O)CC(=O)O,0.0,-381.2387092094929,-380.55922894,581.112
C01089,C[C@@H](O)CC(=O)O,42,4,True,C[C@@H](O)CC(O)=O,0,C[C@H](CC(=O)O)O,0.0,-382.437790123731,-381.74194155,506.292
C00133,C[C@@H](N)C(=O)O,36,3,True,C[C@@H]([NH3+])C(O)=O,1,C[C@@H]([NH3+])C(=O)O,1.0,-323.7767576363389,-323.17875992,384.948
C01438,C,8,1,True,C,0,C,0.0,-40.437685523177,-40.33630402,91.032
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,True,CC(C)C[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)CC(C)C,1.0,-441.515464755908,-440.65034277,783.94
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-686.319955664761,-685.10432635,5676.636
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,True,CC(C)(CO)C(=O)C(O)=O,0,OCC(C(=O)C(=O)O)(C)C,0.0,-534.851764349667,-533.86879453,949.728
C00207,CC(C)=O,24,3,True,CC(C)=O,0,CC(=O)C,0.0,-192.882142513878,-192.51035938,237.228
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-687.532779106328,-686.30414022,1461.924
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,True,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,C[C@@H](C(=O)C1=Nc2c(NC1)nc([nH]c2=O)N)O,0.0,-847.8956368160381,-846.32241287,2578.188
