KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00233,CC(C)CC(=O)C(=O)O,52,6,True,CC(C)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)C,0.0,-454.64893054646006,-454.49051497,19.539
C06611,OC/C=C/Cl,30,3,False,OC\\C=C\\Cl,0,OC/C=C/Cl,0.0,-647.405134394156,-647.34556694,16.051
C00164,CC(=O)CC(=O)O,40,4,True,CC(=O)CC(O)=O,0,CC(=O)CC(=O)O,0.0,-377.085897407137,-376.94239989,13.163
C01018,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,66,6,False,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0,O[C@H]1[C@@H](C)OC([C@@H]([C@H]1O)O)O,0.0,-604.5711681842209,-604.38547435,37.524
C01089,C[C@@H](O)CC(=O)O,42,4,True,C[C@@H](O)CC(O)=O,0,C[C@H](CC(=O)O)O,0.0,-378.255144262705,-378.13447126,15.035
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-678.935074083863,-678.72648188,39.953
C19806,O=C(O)CC(CC(=O)O)C(=O)O,68,6,False,OC(=O)CC(CC(O)=O)C(O)=O,0,OC(=O)C(CC(=O)O)CC(=O)O,0.0,-676.635959805865,-676.38871655,35.43
C00133,C[C@@H](N)C(=O)O,36,3,True,C[C@@H]([NH3+])C(O)=O,1,C[C@@H]([NH3+])C(=O)O,1.0,-320.232522890802,-320.12685255,13.008
C08262,CC(C)CC(=O)O,42,5,False,CC(C)CC(O)=O,0,CC(CC(=O)O)C,0.0,-342.67630732495604,-342.56800739999994,22.19
C03671,O=C(O)c1cc(C(=O)O)oc(=O)c1,68,7,False,OC(=O)C1=CC(=CC(=O)O1)C(O)=O,0,O=c1cc(cc(o1)C(=O)O)C(=O)O,0.0,-711.883486668318,-711.57899859,29.179
C16245,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,76,6,False,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,0,O=C[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,0.0,-752.115882707515,-751.85774873,41.208
C07182,NC(CO)(CO)CO,50,4,False,[NH3+]C(CO)(CO)CO,1,OCC(CO)(CO)[NH3+],1.0,-434.539382065427,-434.41716972,27.283
C01157,O=C(O)[C@@H]1C[C@@H](O)CN1,52,5,False,O[C@H]1C[NH2+][C@@H](C1)C(O)=O,1,O[C@H]1C[NH2+][C@@H](C1)C(=O)O,1.0,-470.998900170163,-470.83831273,23.172
C01438,C,8,1,True,C,0,C,0.0,-39.938294805779,-39.93378438,8.015
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,True,CC(C)C[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)CC(C)C,1.0,-436.593785575844,-436.45567084,23.483
C12313,O[C@H]1CCCC[C@H]1O,48,6,False,O[C@H]1CCCC[C@H]1O,0,O[C@@H]1CCCC[C@@H]1O,0.0,-381.459189235645,-381.35204395,26.16
C11465,Nc1c(O)cc(O)cc1C(=O)O,64,7,False,[NH3+]c1c(O)cc(O)cc1C(O)=O,1,Oc1cc(O)c(c(c1)C(=O)O)N,0.0,-619.4696292714119,-619.24481863,25.838
C03771,N=C(N)NCCCC(=O)C(=O)O,68,6,False,NC(=[NH2+])NCCCC(=O)C(O)=O,1,N[C+](=N)NCCCC(=O)C(=O)O,1.0,-617.969891579241,-617.74881544,27.187
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-678.9350606376098,-678.72635608,28.086
C03894,CC(O)COP(=O)(O)O,56,3,False,CC(O)COP(O)(O)=O,0,CC(COP(=O)(O)O)O,0.0,-829.0955070057919,-828.96396278,20.286
C14841,Oc1ccccc1Br,42,6,False,Oc1ccccc1Br,0,Oc1ccccc1Br,0.0,-2875.113465110005,-2874.99992307,23.401
C16835,O=CCCC=O,34,4,False,O=CCCC=O,0,O=CCCC=O,0.0,-302.680802608237,-302.55571643,11.848
C06006,CC[C@](O)(C(C)=O)C(=O)O,58,6,False,CC[C@](O)(C(C)=O)C(O)=O,0,CC[C@@](C(=O)O)(C(=O)C)O,0.0,-529.02753464016,-528.83733997,23.085
C06153,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0,O[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,0.0,-678.934854468663,-678.73412672,30.609
C06369,O=P(O)(O)OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,90,6,False,OC1C[C@@H](O)[C@H](O)[C@@H](COP(O)(O)=O)O1,0,OC1O[C@H](COP(=O)(O)O)[C@H]([C@@H](C1)O)O,0.0,-1167.416309817717,-1167.1682135,39.201
C07102,Oc1cc(O)c(Cl)cc1O,54,6,False,Oc1cc(O)c(Cl)cc1O,0,Oc1cc(Cl)c(cc1O)O,0.0,-909.05942655608,-908.89532974,20.194000000000006
C00764,OCC1(O)OC[C@@H](O)[C@H](O)[C@H]1O,72,6,False,OCC1(O)OC[C@@H](O)[C@H](O)[C@H]1O,0,OCC1(O)OC[C@H]([C@@H]([C@H]1O)O)O,0.0,-678.938254694022,-678.73002245,29.674
