KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00962,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,72,6,False,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-685.742602817878,-685.8080716,8996.511999999999
C00230,O=C(O)c1ccc(O)c(O)c1,58,7,False,OC(=O)c1ccc(O)c(O)c1,0,OC(=O)c1ccc(c(c1)O)O,0.0,-570.080048133819,-570.09975049,2566.508
C05825,CC(=O)CCC(N)C(=O)O,58,6,False,CC(=O)CCC([NH3+])C(O)=O,1,CC(=O)CCC(C(=O)O)[NH3+],1.0,-515.08451488251,-515.11069729,8468.655999999999
C01035,N=C(N)NCCCC(=O)O,58,5,False,NC(=[NH2+])NCCCC(O)=O,1,N[C+](=N)NCCCC(=O)O,1.0,-511.293756767939,-511.32330965,17226.492
C02779,O=C1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,70,6,False,OC[C@H]1O[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,OC[C@H]1O[C@@H](O)C(=O)[C@H]([C@@H]1O)O,0.0,-684.535432099843,-684.59072824,4995.52
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-760.836351777801,-760.89964507,5765.769
C00606,N[C@@H](CS(=O)O)C(=O)O,54,3,False,[NH3+][C@@H](CS(O)=O)C(O)=O,1,OS(=O)C[C@@H](C(=O)O)[NH3+],1.0,-871.369997365722,-871.39473313,5263.808000000001
C11036,Brc1ccccc1,36,6,False,Brc1ccccc1,0,Brc1ccccc1,0.0,-2804.145187960706,-2804.15139326,1184.552
C05572,NC(=O)C(=O)CCC(=O)O,56,5,False,NC(=O)C(=O)CCC(O)=O,0,OC(=O)CCC(=O)C(=O)N,0.0,-549.28664345146,-549.31179445,4620.096
C06763,OC[C@H]1NC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,OC[C@H]1[NH2+]C(O)[C@H](O)[C@@H](O)[C@@H]1O,1,OC[C@H]1[NH2+]C(O)[C@@H]([C@H]([C@@H]1O)O)O,1.0,-666.371498759863,-666.43416058,6257.911999999998
C05375,O=C(O)C1=CC(O)OC(C(=O)O)=C1,70,7,False,OC1OC(=CC(=C1)C(O)=O)C(O)=O,0,OC1OC(=CC(=C1)C(=O)O)C(=O)O,0.0,-720.203816715244,-720.23766261,6182.656
C03277,O=C(O)C(=O)Cc1cnc[nH]1,58,6,False,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1,OC(=O)C(=O)Cc1c[nH+]c[nH]1,1.0,-566.697669826556,-566.71824384,5516.924
C06814,O=C[C@H](O)[C@@H](O)[C@H](O)COP(=O)(O)O,84,5,False,O[C@H](COP(O)(O)=O)[C@H](O)[C@@H](O)C=O,0,O=C[C@@H]([C@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1138.321000366801,-1138.38342576,40850.096
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-571.44810961169,-571.5014647,4140.548
C00503,OC[C@H](O)[C@H](O)CO,50,4,False,OC[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H](CO)O)O,0.0,-458.350362486473,-458.39545354,6139.164000000002
C01020,O=C(O)c1ccc(O)nc1,52,6,False,OC(=O)c1ccc([O-])[nH+]c1,0,Oc1ccc(cn1)C(=O)O,0.0,-511.03484603069603,-511.05300014,2813.6
C02502,Oc1ccccn1,36,5,False,[O-]c1cccc[nH+]1,0,Oc1ccccn1,0.0,-322.835216384084,-322.84586496,1472.4160000000004
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-849.024370128345,-849.06784723,14292.428999999998
C07327,O=Cc1cccnc1,40,6,False,O=Cc1ccc[nH+]c1,1,O=Cc1cccnc1,0.0,-361.270949785813,-361.28228138,1880.852
C10974,CNCCCC=O,42,5,False,C[NH2+]CCCC=O,1,C[NH2+]CCCC=O,1.0,-326.875169187277,-326.89740572,2994.328
C00793,N[C@H](CS)C(=O)O,42,3,False,[NH3+][C@H](CS)C(O)=O,1,OC(=O)[C@H]([NH3+])CS,1.0,-721.2692968441769,-721.28665143,2343.636
C05161,CC(N)CCC(N)C(=O)O,60,6,False,CC([NH3+])CCC([NH3+])C(O)=O,2,CC([NH3+])CCC([NH3+])C(=O)O,2.0,-496.91903512264395,-496.94759715,8673.204
C01720,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,72,6,False,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,0,O[C@@H]([C@H]([C@@H](C(=O)O)O)O)[C@@H](O)C,0.0,-685.776163231391,-685.82972094,7375.74
C03981,O=C(O)/C=C(\O)C(=O)O,50,4,False,OC(=O)\\C=C(/O)C(O)=O,0,OC(=O)/C=C(/C(=O)O)\O,0.0,-529.876252019339,-529.9005099999998,1860.52
C04442,O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O,94,6,False,O[C@H](COP(O)(O)=O)[C@@H](O)CC(=O)C(O)=O,0,O[C@H]([C@@H](COP(=O)(O)O)O)CC(=O)C(=O)O,0.0,-1251.45597088862,-1251.51340787,19256.776
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-531.047547777273,-531.07868318,4490.2559999999985
C02810,O=P(O)(O)OCC(O)C(O)C(O)C(O)CO,98,6,False,OCC(O)C(O)C(O)C(O)COP(O)(O)=O,0,OCC(C(C(C(COP(=O)(O)O)O)O)O)O,0.0,-1253.823075848079,-1253.90257646,13812.616000000002
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-646.320716659185,-646.3558883999998,5983.607
C03500,CCOC(=O)CC(C)=O,52,6,False,CCOC(=O)CC(C)=O,0,CCOC(=O)CC(=O)C,0.0,-459.37712810759,-459.40369553,6087.14
C00719,C[N+](C)(C)CC(=O)[O-],48,5,False,C[N+](C)(C)CC(O)=O,1,[O-]C(=O)C[N+](C)(C)C,0.0,-401.95635190257104,-401.98586936,7300.624
C00156,O=C(O)c1ccc(O)cc1,52,7,False,OC(=O)c1ccc(O)cc1,0,Oc1ccc(cc1)C(=O)O,0.0,-495.008762718129,-495.025794,2041.904
C06730,Cc1ccc(O)c(O)c1,48,7,False,Cc1ccc(O)c(O)c1,0,Cc1ccc(c(c1)O)O,0.0,-421.113278974252,-421.1259661,1566.264
C02669,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,70,6,False,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1OC(=O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-684.561165128917,-684.61565791,10131.22
C01825,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,72,6,False,OC[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,OC[C@@H]1OC(O)[C@H]([C@@H]([C@@H]1O)O)O,0.0,-685.745980389267,-685.8120765,8725.52
C02486,CC(C)[C@H](N)CC(=O)O,54,6,False,CC(C)[C@H]([NH3+])CC(O)=O,1,[NH3+][C@@H](C(C)C)CC(=O)O,1.0,-441.229576030399,-441.25530753,5937.724
C03030,O=C(O)c1c[nH]c(=O)[nH]c1=O,58,5,False,OC(=O)C1=CNC(=O)NC1=O,0,OC(=O)c1c[nH]c(=O)[nH]c1=O,0.0,-602.159154297041,-602.1822317000001,2050.48
C02045,O=C(CO)[C@@H](O)CO,48,4,False,OC[C@H](O)C(=O)CO,0,OCC(=O)[C@H](CO)O,0.0,-457.146041497618,-457.17908161,3539.5959999999995
C14270,Oc1cccc(Cl)c1,42,6,False,Oc1cccc(Cl)c1,0,Oc1cccc(c1)Cl,0.0,-765.913237748981,-765.92132515,951.412
