KEGG,smiles,n_electrons,n_carbons,smiles_ph0,charge_ph0,energy_Ha,energy_solv_Ha
C02323,OCc1ccccc1O,48,7,OCc1ccccc1O,0,-21.615715196,-21.615715196
C00014,N,8,0,[NH4+],1,-3.6122499887,-3.6122499887
C00546,CC(=O)C=O,28,3,CC(=O)C=O,0,-13.2464275791,-13.2464275791
C11260,CC(N)(CO)CO,44,4,CC([NH3+])(CO)CO,1,-20.1516804999,-20.1516804999
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,72,6,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0,-34.6483594732,-34.6483594732
C00618,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,76,6,OC[C@H](O)[C@@H](O)C(=O)[C@H](O)C(O)=O,0,-37.2242796124,-37.2242796124
C06601,Oc1ccc(O)c(Cl)c1,48,6,Oc1ccc(O)c(Cl)c1,0,-21.9543012227,-21.9543012227
C01488,O=C[C@H](O)C(O)(CO)CO,60,5,OCC(O)(CO)[C@@H](O)C=O,0,-28.8697512741,-28.8697512741
C05823,O=C(O)[C@@H](O)CS,42,3,O[C@@H](CS)C(O)=O,0,-19.7683265412,-19.7683265412
C00022,CC(=O)C(=O)O,34,3,CC(=O)C(O)=O,0,-16.5839676071,-16.5839676071
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-37.2161259257,-37.2161259257
C06417,CC(C)[C@@H](N)C(=O)O,48,5,CC(C)[C@@H]([NH3+])C(O)=O,1,-21.8687893119,-21.8687893119
C04181,CC(C)(O)C(=O)C(=O)O,52,5,CC(C)(O)C(=O)C(O)=O,0,-24.8325191048,-24.8325191048
C06813,O=[N+]([O-])c1ccccc1,46,6,[O-][N+](=O)c1ccccc1,0,-21.0550817938,-21.0550817938
C01019,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,66,6,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,-31.3554365249,-31.3554365249
C01015,O=C(O)[C@@H]1C[C@H](O)CN1,52,5,O[C@@H]1C[NH2+][C@@H](C1)C(O)=O,1,-24.4129119326,-24.4129119326
C00067,C=O,12,1,C=O,0,-5.7544030567,-5.7544030567
C19322,Nc1ccc([N+](=O)[O-])cc1O,58,6,[NH3+]c1ccc(cc1O)[N+]([O-])=O,1,-27.2383905465,-27.2383905465
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-37.2135431565,-37.2135431565
C17211,CSCCCC(=O)C(=O)O,58,6,CSCCCC(=O)C(O)=O,0,-26.422886875,-26.422886875
C06032,C[C@H](C(=O)O)[C@@H](O)C(=O)O,58,5,C[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,-28.1713724555,-28.1713724555
C00084,CC=O,18,2,CC=O,0,-8.237970989,-8.237970989
C05527,O=C(O)C(=O)CS(=O)O,52,3,OC(=O)C(=O)CS(O)=O,0,-25.5855428113,-25.5855428113
C16473,Oc1ccc(F)cc1O,48,6,Oc1ccc(F)cc1O,0,-23.1437372968,-23.1437372968
C00937,C[C@@H](O)C=O,30,3,C[C@@H](O)C=O,0,-14.012709084,-14.012709084
C01188,CC(CO)C(=O)O,42,4,CC(CO)C(O)=O,0,-19.8252009784,-19.8252009784
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-46.7105199273,-46.7105199273
C00407,CC[C@H](C)[C@H](N)C(=O)O,54,6,CC[C@H](C)[C@H]([NH3+])C(O)=O,1,-24.3448764307,-24.3448764307
C00854,OC1CCCCC1,42,6,OC1CCCCC1,0,-18.1427201307,-18.1427201307
C15488,O=CCF,24,2,FCC=O,0,-12.2077396149,-12.2077396149
C08286,N=C(N)NCC[C@@H](O)C[C@H](N)C(=O)O,82,7,NC(=[NH2+])NCC[C@@H](O)C[C@H]([NH3+])C(O)=O,2,-37.7540599576,-37.7540599576
C01719,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,72,6,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,0,-34.6462802385,-34.6462802385
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,COc1cc(\\C=C\\C=O)ccc1O,0,-30.7939983441,-30.7939983441
C00682,O=C/C=C\C=C(\O)C(=O)O,54,6,OC(=O)C(\\O)=C/C=C\\C=O,0,-25.7564548382,-25.7564548382
C12849,O=S(=O)(O)c1ccc(O)cc1,60,6,Oc1ccc(cc1)S([O-])(=O)=O,-1,-27.8974982617,-27.8974982617
C04575,O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO,74,6,OC[C@H](O)[C@@H](O)C(=O)C(=O)C(O)=O,0,-36.4413391108,-36.4413391108
C02287,O=C(O)C(O)C(=O)O,46,3,OC(C(O)=O)C(O)=O,0,-23.2164694087,-23.2164694087
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,-46.753635651,-46.753635651
C00805,O=C(O)c1ccccc1O,52,7,OC(=O)c1ccccc1O,0,-24.1981355135,-24.1981355135
C02656,O=C(O)CCCCCC(=O)O,64,7,OC(=O)CCCCCC(O)=O,0,-29.8154725532,-29.8154725532
C01012,CC1(C)COC(=O)[C@@H]1O,52,6,CC1(C)COC(=O)[C@@H]1O,0,-23.9956734841,-23.9956734841
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,72,6,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0,-34.6450294325,-34.6450294325
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,OC(=O)C(=O)COP(O)(O)=O,0,-31.9401149712,-31.9401149712
C10920,OCC1CO1,30,3,OCC1CO1,0,-13.9644151784,-13.9644151784
C02236,O=C(O)c1ccc(S(=O)(=O)O)cc1,70,7,OC(=O)c1ccc(cc1)S([O-])(=O)=O,-1,-32.9468865345,-32.9468865345
C03383,O=C1O[C@@H]([C@H](O)CO)[C@H](O)[C@H]1O,70,6,OC[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O,0,-33.9024579443,-33.9024579443
C17577,O=C1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,70,6,O[C@@H]1[C@H](O)[C@@H](O)C(=O)[C@@H](O)[C@@H]1O,0,-33.8848767309,-33.8848767309
C00222,O=CCC(=O)O,34,3,OC(=O)CC=O,0,-16.5829654791,-16.5829654791
C05682,O=C(O)CP(=O)(O)O,48,2,OC(=O)CP(O)(O)=O,0,-23.6363053143,-23.6363053143
C04670,O=C1C[C@@H](C(=O)O)CC[C@@H]1O,62,7,O[C@H]1CC[C@@H](CC1=O)C(O)=O,0,-29.0279900578,-29.0279900578
C02782,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO,72,6,OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,0,-34.6823978774,-34.6823978774
C02928,O=C(O)C(=O)[C@@H](O)[C@H](O)CO,64,5,OC[C@@H](O)[C@H](O)C(=O)C(O)=O,0,-31.4419006374,-31.4419006374
C01088,CC(C)(C(=O)O)[C@@H](O)C(=O)O,64,6,CC(C)([C@@H](O)C(O)=O)C(O)=O,0,-30.649778397,-30.649778397
C00632,Nc1c(O)cccc1C(=O)O,58,7,[NH3+]c1c(O)cccc1C(O)=O,1,-27.0961209167,-27.0961209167
C06057,NC[C@H](O)CO,38,3,[NH3+]C[C@H](O)CO,1,-17.6632880873,-17.6632880873
C00197,O=C(O)[C@H](O)COP(=O)(O)O,66,3,O[C@H](COP(O)(O)=O)C(O)=O,0,-32.7152411668,-32.7152411668
C02522,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,66,6,C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,-31.3488707787,-31.3488707787
C12347,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](O)C[C@@H]1O,126,5,O[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,0,-61.6944311802,-61.6944311802
C02994,O=C1O[C@@H](CO)[C@@H](O)[C@@H]1O,58,5,OC[C@@H]1OC(=O)[C@@H](O)[C@@H]1O,0,-28.1256871394,-28.1256871394
C01680,C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,72,6,C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O,0,-34.6846514257,-34.6846514257
C05406,O=C(CO)CC(=O)C(=O)O,56,5,OCC(=O)CC(=O)C(O)=O,0,-27.3702661389,-27.3702661389
C02647,N=C(N)NCCCC=O,52,5,NC(=[NH2+])NCCCC=O,1,-23.37140642,-23.37140642
C06030,C[C@H](C(=O)O)C(=O)C(=O)O,56,5,C[C@H](C(O)=O)C(=O)C(O)=O,0,-27.4030657571,-27.4030657571
C09822,O=C(O)C1CCCCC1,52,7,OC(=O)C1CCCCC1,0,-23.1899646854,-23.1899646854
C14858,O=CC(Cl)Cl,30,2,ClC(Cl)C=O,0,-13.8028062612,-13.8028062612
C00108,Nc1ccccc1C(=O)O,52,7,[NH3+]c1ccccc1C(O)=O,1,-23.7717793127,-23.7717793127
C03134,CN(C)C=O,30,3,CN(C)C=O,0,-13.4814869521,-13.4814869521
C01179,O=C(O)C(=O)Cc1ccc(O)cc1,68,9,OC(=O)C(=O)Cc1ccc(O)cc1,0,-31.6738316418,-31.6738316418
C04324,O=C(O)/C=C(\C=C(\O)C(=O)O)C(=O)O,76,7,OC(=O)\\C=C(/C=C(/O)C(O)=O)\\C(O)=O,0,-37.4457216329,-37.4457216329
C11505,C=CC,18,3,CC=C,0,-7.3809360207,-7.3809360207
C05936,CC(=O)NCCCC=O,52,6,CC(=O)NCCCC=O,0,-23.4555972653,-23.4555972653
C00741,CC(=O)C(C)=O,34,4,CC(=O)C(C)=O,0,-15.7313754975,-15.7313754975
C02170,CC(C(=O)O)C(=O)O,46,4,CC(C(O)=O)C(O)=O,0,-22.3980685812,-22.3980685812
C03153,CNC(=O)CC[C@H](N)C(=O)O,64,6,CNC(=O)CC[C@H]([NH3+])C(O)=O,1,-29.6659118963,-29.6659118963
C06146,C#CCCO,28,4,OCCC#C,0,-12.3541871968,-12.3541871968
C16588,O=C(O)CCCCC(=O)C(=O)O,68,7,OC(=O)CCCCC(=O)C(O)=O,0,-32.3454094122,-32.3454094122
C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,84,5,OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-40.9375489415,-40.9375489415
C00661,O=CC(O)COP(=O)(O)O,60,3,OC(COP(O)(O)=O)C=O,0,-29.3718591133,-29.3718591133
C05382,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,108,7,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,-52.4918101301,-52.4918101301
C00672,O=P(O)(O)O[C@@H]1C[C@H](O)[C@@H](CO)O1,78,5,OC[C@H]1O[C@@H](C[C@@H]1O)OP(O)(O)=O,0,-37.6390547621,-37.6390547621
C17467,OCc1ccc(O)cc1,48,7,OCc1ccc(O)cc1,0,-21.6190001948,-21.6190001948
C05123,O=S(=O)(O)CCO,44,2,OCCS([O-])(=O)=O,-1,-21.0520954878,-21.0520954878
C11272,Fc1ccccc1,36,6,Fc1ccccc1,0,-16.5203379757,-16.5203379757
C00134,NCCCCN,38,4,[NH3+]CCCC[NH3+],2,-16.2951584287,-16.2951584287
C03088,O=c1[nH]cc(CO)c(=O)[nH]1,54,5,OCC1=CNC(=O)NC1=O,0,-25.5732646108,-25.5732646108
C03177,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](OP(=O)(O)O)[C@@H]1O,96,6,[NH3+][C@H]1[C@H](O)[C@@H]([NH3+])[C@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O,2,-45.757793373,-45.757793373
C01467,Cc1cccc(O)c1,42,7,Cc1cccc(O)c1,0,-18.3221647071,-18.3221647071
C02798,O=C(O)C(=O)CP(=O)(O)O,58,3,OC(=O)C(=O)CP(O)(O)=O,0,-28.6467698,-28.6467698
C06008,CC[C@@H](C)C(=O)C(=O)O,52,6,CC[C@@H](C)C(=O)C(O)=O,0,-24.0056151274,-24.0056151274
C00493,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,68,7,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C(O)=O,0,-32.3183989203,-32.3183989203
C01877,O=C1CN[C@H](C(=O)O)C1,50,5,OC(=O)[C@@H]1CC(=O)C[NH2+]1,1,-23.6349802611,-23.6349802611
C00218,CN,14,1,C[NH3+],1,-6.0929007322,-6.0929007322
C06312,O=P(O)(O)OC[C@@H]1OC(O)(CO)[C@H](O)[C@@H]1O,96,6,OCC1(O)O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,0,-46.7240801101,-46.7240801101
