KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00830,O=C(O)C(=O)C(=O)O,44,3,False,OC(=O)C(=O)C(O)=O,0,O=C(C(=O)O)C(=O)O,0.0,-490.57881338928803,-490.59207204,146.4
C01096,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,98,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,0.0,-1253.765737686332,-1253.83960716,519.9590000000002
C02648,O=CC#CCO,32,4,False,OCC#CC=O,0,OCC#CC=O,0.0,-304.514101381522,-304.5258479,166.232
C05938,N[C@@H](C[C@@H](O)C=O)C(=O)O,58,5,False,[NH3+][C@@H](C[C@@H](O)C=O)C(O)=O,1,O=C[C@@H](C[C@@H](C(=O)O)[NH3+])O,1.0,-550.868998236803,-550.90007925,393.28
C06231,CC1=N[C@H](C(=O)O)CCN1,56,6,False,CC1=[NH+][C@@H](CCN1)C(O)=O,1,OC(=O)[C@@H]1CCN[C+](=N1)C,1.0,-494.021788769495,-494.04554168,446.7480000000001
C02497,OCC#CCO,34,4,False,OCC#CCO,0,OCC#CCO,0.0,-305.729890242846,-305.74782818,215.468
C06055,N[C@H](C(=O)O)[C@H](O)COP(=O)(O)O,78,4,False,[NH3+][C@@H]([C@H](O)COP(O)(O)=O)C(O)=O,1,O[C@@H]([C@@H](C(=O)O)[NH3+])COP(=O)(O)O,1.0,-1079.699344994648,-1079.74372265,622.816
C03107,O=C1O[C@H](C(O)CO)[C@H](O)[C@H]1O,70,6,False,OCC(O)[C@H]1OC(=O)[C@H](O)[C@H]1O,0,OCC([C@H]1OC(=O)[C@@H]([C@H]1O)O)O,0.0,-684.535974151531,-684.58615007,598.452
C04484,O=C/C=C(\C=C(\O)C(=O)O)C(=O)O,70,7,False,OC(=O)C(\\O)=C/C(=C\\C=O)/C(O)=O,0,O=C/C=C(/C(=O)O)\C=C(/C(=O)O)\O,0.0,-720.125549585222,-720.14882753,687.1560000000002
C01100,N[C@H](COP(=O)(O)O)Cc1c[nH]cn1,80,6,True,[NH3+][C@H](COP(O)(O)=O)Cc1c[nH]c[nH+]1,2,[NH3+][C@@H](Cc1c[nH]c[nH+]1)COP(=O)(O)O,2.0,-1041.471389630118,-1041.51000373,385.403
C00146,Oc1ccccc1,36,6,False,Oc1ccccc1,0,Oc1ccccc1,0.0,-306.799132393439,-306.80762893,295.092
C03196,O=C(O)CC[C@H](O)C(=O)O,58,5,True,O[C@@H](CCC(O)=O)C(O)=O,0,OC(=O)CC[C@@H](C(=O)O)O,0.0,-570.287042251985,-570.31606045,173.935
C03284,C[C@@H](CN)C(=O)O,42,4,False,C[C@@H](C[NH3+])C(O)=O,1,C[C@H](C(=O)O)C[NH3+],1.0,-362.742566173087,-362.75952728,345.664
C00989,O=C(O)CCCO,42,4,True,OCCCC(O)=O,0,OCCCC(=O)O,0.0,-382.10706703914803,-382.13055195,71.74
C00880,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,78,6,False,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-760.805434396676,-760.86195024,859.008
C00179,N=C(N)NCCCCN,54,5,False,NC(=[NH2+])NCCCC[NH3+],2,[NH3+]CCCCN[C+](=N)N,2.0,-417.99564264808197,-418.01919582,227.72
C06158,C[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O,64,6,False,C[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O,0,C[C@H]([C@@H]1OC(=O)[C@@H]([C@H]1O)O)O,0.0,-609.47094347424,-609.51191913,320.088
C00282,[H][H],2,0,True,[H][H],0,[H][H],0.0,-1.167327639258,-1.16481014,5.003
C02001,C=CCO,24,3,False,OCC=C,0,OCC=C,0.0,-192.69187150978598,-192.70407477,110.236
C17361,O=C1C[C@@H]2O[C@@H](CCO)CN12,62,7,False,OCC[C@H]1CN2[C@H](CC2=O)O1,0,OCC[C@H]1CN2[C@@H](O1)CC2=O,0.0,-552.55937156744,-552.59955571,341.80800000000005
C07490,OCC(Cl)(Cl)Cl,38,2,False,OCC(Cl)(Cl)Cl,0,OCC(Cl)(Cl)Cl,0.0,-1532.0049030715522,-1532.01434219,134.14
C14604,Nc1cc(O)ccc1O,48,6,False,[NH3+]c1cc(O)ccc1O,1,Oc1ccc(c(c1)N)O,0.0,-437.551143058824,-437.56378866,203.844
C07555,COc1ccc([N+](=O)[O-])cc1,58,7,False,COc1ccc(cc1)[N+]([O-])=O,0,COc1ccc(cc1)[N+](=O)[O-],0.0,-550.06598063805,-550.08825081,312.672
C00388,NCCc1c[nH]cn1,44,5,False,[NH3+]CCc1c[nH]c[nH+]1,2,C(c1c[nH]c[nH+]1)C[NH3+],2.0,-360.33841332439596,-360.35452687,197.136
C03338,Cc1cc(O)cc(O)c1O,54,7,False,Cc1cc(O)cc(O)c1O,0,Oc1cc(C)c(c(c1)O)O,0.0,-496.160232681622,-496.17576898,254.148
C03926,O=C(O)CC(=O)[C@H](O)[C@H](O)CO,70,6,True,OC[C@@H](O)[C@@H](O)C(=O)CC(O)=O,0,OC[C@H]([C@H](C(=O)CC(=O)O)O)O,0.0,-684.543899070466,-684.58602567,219.595
C01151,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O,108,5,False,O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,0,O[C@@H]1[C@@H](COP(=O)(O)O)O[C@@H]([C@@H]1O)OP(=O)(O)O,0.0,-1705.134470874223,-1705.2049875,698.692
C05828,Cn1cnc(CC(=O)O)c1,54,6,False,Cn1c[nH+]c(CC(O)=O)c1,1,Cn1cc(nc1)CC(=O)O,0.0,-492.810024199762,-492.82935633,346.30800000000005
C02426,O=C[C@@H](O)CO,36,3,False,OC[C@H](O)C=O,0,O[C@H](C=O)CO,0.0,-342.840469007271,-342.86459884,144.196
C00036,O=C(O)CC(=O)C(=O)O,50,4,True,OC(=O)CC(=O)C(O)=O,0,OC(=O)CC(=O)C(=O)O,0.0,-529.833749604402,-529.85114343,109.862
C02804,O=C(O)CCCCO,48,5,False,OCCCCC(O)=O,0,OCCCCC(=O)O,0.0,-421.334141293797,-421.36111224,227.556
C00545,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO,66,5,False,OC[C@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@@H]([C@@H]([C@H](C(=O)O)O)O)O,0.0,-646.515005490848,-646.56100128,401.628
C00593,O=CCS(=O)(=O)O,42,2,False,[O-]S(=O)(=O)CC=O,-1,O=CCS(=O)(=O)[O-],-1.0,-775.933270542939,-775.94824713,186.8
C00680,N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)O,76,7,False,[NH3+][C@@H](CCC[C@@H]([NH3+])C(O)=O)C(O)=O,2,[NH3+][C@H](C(=O)O)CCC[C@H](C(=O)O)[NH3+],2.0,-685.043903742917,-685.07909805,583.052
C00603,NC(=O)N[C@@H](O)C(=O)O,52,3,False,NC(=O)N[C@@H](O)C(O)=O,0,NC(=O)N[C@H](C(=O)O)O,0.0,-527.242490577194,-527.2673477,284.512
C01620,O=C(O)[C@H](O)[C@@H](O)CO,54,4,True,OC[C@H](O)[C@@H](O)C(O)=O,0,OC[C@@H]([C@H](C(=O)O)O)O,0.0,-532.222916414603,-532.2595995,148.929
C00266,O=CCO,24,2,False,OCC=O,0,OCC=O,0.0,-228.55206602020598,-228.56699933,124.756
C00196,O=C(O)c1cccc(O)c1O,58,7,False,OC(=O)c1cccc(O)c1O,0,OC(=O)c1cccc(c1O)O,0.0,-570.033520246791,-570.05109872,373.432
C01295,CO[C@@H]1[C@@H](O)C(=O)[C@H](O)[C@H](O)[C@H]1O,76,7,False,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)C(=O)[C@@H]1O,0,CO[C@H]1[C@H](O)[C@@H](O)[C@H](C(=O)[C@@H]1O)O,0.0,-723.7196383257518,-723.77682949,646.116
C03458,Oc1ccc(O)c(O)n1,48,5,False,Oc1ccc(O)c(O)[nH+]1,1,Oc1ccc(c(n1)O)O,0.0,-473.38046650766404,-473.39576694,273.168
