KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00181,OC1OC[C@@H](O)[C@H](O)[C@H]1O,60,5,True,O[C@@H]1COC(O)[C@H](O)[C@H]1O,0,O[C@@H]1COC([C@@H]([C@H]1O)O)O,0.0,-571.957783773077,-570.9449043,753.904
C00322,O=C(O)CCCC(=O)C(=O)O,62,6,True,OC(=O)CCCC(=O)C(O)=O,0,OC(=O)CCCC(=O)C(=O)O,0.0,-608.860335565311,-607.78975294,881.132
C02780,O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,74,6,True,OCC(=O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OCC(=O)[C@H]([C@@H](C(=O)C(=O)O)O)O,0.0,-759.113605498271,-757.81096126,1252.464
C00590,COc1cc(/C=C/CO)ccc1O,70,10,True,COc1cc(\\C=C\\CO)ccc1O,0,OC/C=C/c1ccc(c(c1)OC)O,0.0,-613.068738396962,-611.90609472,1388.924
C00263,N[C@@H](CCO)C(=O)O,48,4,True,[NH3+][C@@H](CCO)C(O)=O,1,OCC[C@@H](C(=O)O)[NH3+],1.0,-438.19093634374804,-437.39551296,552.368
C01096,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,98,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,0.0,-1254.815676532419,-1253.15199815,2559.736
C01100,N[C@H](COP(=O)(O)O)Cc1c[nH]cn1,80,6,True,[NH3+][C@H](COP(O)(O)=O)Cc1c[nH]c[nH+]1,2,[NH3+][C@@H](Cc1c[nH]c[nH+]1)COP(=O)(O)O,2.0,-1042.2466380254261,-1040.8917014,2004.088
C03196,O=C(O)CC[C@H](O)C(=O)O,58,5,True,O[C@@H](CCC(O)=O)C(O)=O,0,OC(=O)CC[C@@H](C(=O)O)O,0.0,-570.824890002942,-569.83116135,694.7
C00989,O=C(O)CCCO,42,4,True,OCCCC(O)=O,0,OCCCC(=O)O,0.0,-382.45040883867205,-381.76210175,392.548
C00282,[H][H],2,0,True,[H][H],0,[H][H],0.0,-1.16632852331,-1.14767939,64.54
C03926,O=C(O)CC(=O)[C@H](O)[C@H](O)CO,70,6,True,OC[C@@H](O)[C@@H](O)C(=O)CC(O)=O,0,OC[C@H]([C@H](C(=O)CC(=O)O)O)O,0.0,-685.179716276753,-683.98265616,1192.164
C00036,O=C(O)CC(=O)C(=O)O,50,4,True,OC(=O)CC(=O)C(O)=O,0,OC(=O)CC(=O)C(=O)O,0.0,-530.365057697399,-529.47113675,486.464
C01620,O=C(O)[C@H](O)[C@@H](O)CO,54,4,True,OC[C@H](O)[C@@H](O)C(O)=O,0,OC[C@@H]([C@H](C(=O)O)O)O,0.0,-532.734702841496,-531.81366511,483.476
C00756,CCCCCCCCO,56,8,True,CCCCCCCCO,0,CCCCCCCCO,0.0,-390.3079275321649,-389.48252242,796.28
C01697,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0,OC[C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-687.5482088489059,-686.31827221,1150.636
C00314,Cc1ncc(CO)c(CO)c1O,66,8,True,Cc1[nH+]cc(CO)c(CO)c1[O-],0,OCc1c(CO)cnc(c1O)C,0.0,-591.0991513947561,-589.98183734,1136.78
C00082,N[C@@H](Cc1ccc(O)cc1)C(=O)O,70,9,True,[NH3+][C@@H](Cc1ccc(O)cc1)C(O)=O,1,OC(=O)[C@H](Cc1ccc(cc1)O)[NH3+],1.0,-629.63718955203,-628.45613871,1303.76
C01087,O=C(O)CC[C@@H](O)C(=O)O,58,5,True,O[C@H](CCC(O)=O)C(O)=O,0,OC(=O)CC[C@H](C(=O)O)O,0.0,-570.823276560422,-569.82837958,630.624
C00042,O=C(O)CCC(=O)O,46,4,True,OC(=O)CCC(O)=O,0,OC(=O)CCC(=O)O,0.0,-456.431992662915,-455.64263494,391.444
C00064,NC(=O)CC[C@H](N)C(=O)O,58,5,True,NC(=O)CC[C@H]([NH3+])C(O)=O,1,NC(=O)CC[C@@H](C(=O)O)[NH3+],1.0,-531.544454223658,-530.57212807,726.32
C00041,C[C@H](N)C(=O)O,36,3,True,C[C@H]([NH3+])C(O)=O,1,C[C@H]([NH3+])C(=O)O,1.0,-323.796195110882,-323.20429326,270.368
C00026,O=C(O)CCC(=O)C(=O)O,56,5,True,OC(=O)CCC(=O)C(O)=O,0,OC(=O)CCC(=O)C(=O)O,0.0,-569.6144568479609,-568.63524032,622.16
C00535,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,116,19,True,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,0,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,0.0,-890.012119859205,-888.15792468,7209.528
C00414,O=C1CCCCC1,40,6,True,O=C1CCCCC1,0,O=C1CCCCC1,0.0,-309.432698293061,-308.81061914,445.628
C00468,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,106,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C,0.0,-848.381711960851,-846.65408257,5400.772
C00258,O=C(O)[C@H](O)CO,42,3,True,OC[C@@H](O)C(O)=O,0,OC[C@H](C(=O)O)O,0.0,-418.346273616982,-417.62819849,344.8040000000001
C00232,O=CCCC(=O)O,40,4,True,OC(=O)CCC=O,0,O=CCCC(=O)O,0.0,-381.24206709431604,-380.56855384,365.436
C00209,O=C(O)C(=O)O,34,2,True,OC(=O)C(O)=O,0,OC(=O)C(=O)O,0.0,-377.912729479245,-377.29179081,259.79200000000003
C00940,NC(=O)CCC(=O)C(=O)O,56,5,True,NC(=O)CCC(=O)C(O)=O,0,NC(=O)CCC(=O)C(=O)O,0.0,-549.751709101976,-548.78381264,698.812
C00392,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.0,-687.5509171262579,-686.31988455,1358.808
