KEGG,canon_smiles,smiles,n_electrons,n_carbons,organic,easy,exp_rxn_data,dlpno_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,josh
C07664,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,154,20,True,False,False,False,[NH3+][C@H]1[C@@H]2CN(C[C@H]12)c1[nH+]c2N(C=C(C(O)=O)C(=O)c2cc1F)c1ccc(F)cc1F,2,Fc1ccc(c(c1)F)n1cc(C(=O)O)c(=O)c2c1nc(N1C[C@@H]3[C@H](C1)[C@H]3[NH3+])c(c2)F,1,False
C00431,NCCCCC(=O)O,NCCCCC(=O)O,48,5,True,True,False,True,[NH3+]CCCCC(O)=O,1,[NH3+]CCCCC(=O)O,1,False
C11564,Cc1ccc(OCC(=O)Nc2ccc(O)c(-c3nc4ccccc4o3)c2)cc1,Cc1ccc(OCC(=O)Nc2ccc(O)c(-c3nc4ccccc4o3)c2)cc1,140,22,True,False,False,False,Cc1ccc(OCC(=O)Nc2ccc(O)c(c2)-c2[nH+]c3ccccc3o2)cc1,1,O=C(Nc1ccc(c(c1)c1nc2c(o1)cccc2)O)COc1ccc(cc1)C,0,False
C19713,N=C(N)NCCC[C@H](NC(=O)CC(N)C(=O)NC(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(=O)O)C(=O)O,N=C(N)NCCC[C@H](NC(=O)CC(N)C(=O)NC(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(=O)O)C(=O)O,220,20,True,False,False,False,NC(=[NH2+])NCCC[C@H](NC(=O)CC([NH3+])C(=O)NC(CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(O)=O)C(O)=O)C(O)=O,3,N[C+](=[NH2+])NCCC[C@@H](C(=O)O)NC(=O)CC(C(=O)NC(C(=O)O)CC(=O)N[C@H](C(=O)O)CCCN[C+](=[NH2+])N)[NH3+],5,False
C10720,CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,116,14,True,False,False,False,CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,0,OC[C@H]1O[C@@H](Oc2ccc(cc2)C(=O)C)[C@@H]([C@H]([C@@H]1O)O)O,0,False
C19506,C=Cc1ccccc1,C=Cc1ccccc1,40,8,True,True,False,False,C=Cc1ccccc1,0,C=Cc1ccccc1,0,False
C19771,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)C(O)C(=O)NCCC(=O)NCCS,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)C(O)C(=O)NCCC(=O)NCCS,372,26,True,False,False,False,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O[C@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)[C@@H]1O)n1cnc2c(N)[nH+]cnc12)C(O)C(=O)NCCC(=[OH+])NCCS,2,SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O[C@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O,0,False
C10526,COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(OC)c1,COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(OC)c1,110,17,True,False,False,False,COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(OC)c1,0,COc1cc(OC)ccc1[C@@H]1COc2c(C1)ccc(c2)O,0,False
C14675,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,154,23,True,False,False,False,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H]([OH2+])C[C@]12C,1,CC(=O)OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,0,False
C10210,O=C(O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]21)c1cc(O)c(O)c(Oc2c(C(=O)O[C@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]43)cc(O)c(O)c2O)c1,O=C(O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]21)c1cc(O)c(O)c(Oc2c(C(=O)O[C@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]43)cc(O)c(O)c2O)c1,694,82,True,False,False,False,Oc1cc(C(=O)O[C@H]2O[C@@H]3COC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c(O)cc4C(=O)O[C@H]3[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c(O)cc4C(=O)O[C@@H]23)c(Oc2cc(cc(O)c2O)C(=O)O[C@H]2O[C@@H]3COC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c(O)cc4C(=O)O[C@H]3[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c(O)cc4C(=O)O[C@@H]23)c(O)c1O,0,O=C(c1cc(O)c(c(c1)Oc1c(cc(c(c1O)O)O)C(=O)O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(c(c3c3c(C(=O)O[C@H]2[C@H]2[C@H]1OC(=O)c1cc(O)c(c(c1c1c(C(=O)O2)cc(c(c1O)O)O)O)O)cc(O)c(c3O)O)O)O)O)O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(c(c3c3c(C(=O)O[C@H]2[C@H]2[C@H]1OC(=O)c1cc(O)c(c(c1c1c(C(=O)O2)cc(c(c1O)O)O)O)O)cc(O)c(c3O)O)O)O,0,False
C11169,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,84,9,True,True,False,False,[NH3+]c1ccc(cc1)S(=O)(=O)Nc1[nH+]ccs1,2,Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,0,False
