rxn,category
CC(C)=CCC1=CC(=O)C(C)=C(C)C1O>>CC(C)=CCC1=CC(O)C(C)=C(C)C1O,2
CC(C)=CCC1=CC(O)C(C)=C(C)C1=O>>CC(C)=CCC1=CC(O)C(C)=C(C)C1O,2
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O>>Nc1ccc2c(c1)C(=O)c1ccccc1C2O,2
COc1ccc(C(=O)c2cccc(C)c2)cc1C>>COc1ccc(C(O)c2cccc(C)c2)cc1C,2
C=C(C)[C@H]1CC[C@H](C)C(=O)C1>>C=C(C)[C@H]1CC[C@H](C)C(O)C1,2
NC1C(O)=CC(=O)c2c(O)cc(O)cc21>>NC1C(O)=CC(O)c2c(O)cc(O)cc21,2
O=C(c1ccccc1)[C@H](O)c1ccccc1>>NC(c1ccccc1)[C@H](O)c1ccccc1,3
Cc1ccc2c(c1N)C(=O)c1ccccc1C2N>>Cc1ccc2c(c1N)C(N)c1ccccc1C2N,3
NC1c2ccccc2C(=O)c2ccc(CO)cc21>>NC1c2ccccc2C(O)c2ccc(CO)cc21,2
C=C(C)[C@@H](CCC(C)=O)CC(=O)O>>C=C(C)[C@@H](CCC(C)N)CC(=O)O,3
NC1c2ccccc2C(=O)c2c1ccc(O)c2O>>NC1c2ccccc2C(N)c2c1ccc(O)c2O,3
Nc1c(O)cccc1C(=O)CC(=O)C(=O)O>>Nc1c(O)cccc1C(N)CC(=O)C(=O)O,3
O=C(O)C(=O)/C=C/c1ccccc1C(=O)O>>NC(C=Cc1ccccc1C(=O)O)C(=O)O,3
O=CCCc1c(O)cc(C(=O)O)[nH]c1=O>>NCCCc1c(O)cc(C(=O)O)[nH]c1=O,3
COc1ccc(C(=O)c2cccc(C)c2)cc1C>>COc1ccc(C(N)c2cccc(C)c2)cc1C,3
O=C(O)C(=O)/C=C/c1ccccc1C(=O)O>>O=C(O)c1ccccc1C=CC(O)C(=O)O,2
NC1c2ccccc2C(=O)c2ccc(CO)cc21>>NC1c2ccccc2C(N)c2cc(CO)ccc21,3
O=C1CC(c2cccc(O)c2)Oc2ccccc21>>NC1CC(c2cccc(O)c2)Oc2ccccc21,3
O=C/C(=C\C=C(\O)C(=O)O)CC(=O)O>>NCC(=C/C=C(/O)C(=O)O)CC(=O)O,3
O=C1C[C@@H](O)Cc2cc(O)cc(O)c21>>Oc1cc(O)c2c(c1)C[C@H](O)CC2O,2
N[C@@H](CCCCCC(=O)C1CO1)C(=O)O>>NC(CCCCC[C@H](N)C(=O)O)C1CO1,3
O=C/C(=C\C=C(\O)C(=O)O)CC(=O)O>>O=C(O)CC(=C/C=C(/O)C(=O)O)CO,2
N[C@@H]1C(=O)CC=C[C@H]1C(=O)O>>NC1CC=C[C@@H](C(=O)O)[C@@H]1N,3
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1N>>CC1=C(O)C(O)c2c(C)ccc(O)c2C1N,2
O=C1c2ccccc2C(O)c2ccc(O)c(O)c21>>Oc1ccc2c(c1O)C(O)c1ccccc1C2O,2
O=C(O)CC(=O)[C@H](O)[C@H](O)CO>>O=C(O)CC(O)[C@H](O)[C@H](O)CO,2
C=C(C)[C@@H]1CC[C@H](C)C(=O)C1>>C=C(C)[C@@H]1CC[C@H](C)C(O)C1,2
N[C@@H](CCCCCC(=O)C1CO1)C(=O)O>>N[C@@H](CCCCCC(O)C1CO1)C(=O)O,2
COc1ccc2c(c1O)C(=O)c1ccccc1C2N>>COc1ccc2c(c1O)C(O)c1ccccc1C2N,2
O=C(O)C(=O)/C=C/c1ccc2ccccc2c1O>>NC(C=Cc1ccc2ccccc2c1O)C(=O)O,3
CC1=C(O)C(N)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(N)c2c(C)ccc(O)c2C1O,2
O=C(O)C/C(=C/C(=O)C(=O)O)C(=O)O>>O=C(O)CC(=CC(O)C(=O)O)C(=O)O,2
O=C(O)C(=O)/C=C/c1ccc2ccccc2c1O>>O=C(O)C(O)C=Cc1ccc2ccccc2c1O,2
NC1C=C(C[C@H](N)C(=O)O)C=CC1=O>>NC1C=C(C[C@H](N)C(=O)O)C=CC1O,2
O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O>>Oc1ccc(CCC(O)c2ccc(O)cc2O)cc1,2
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1O>>CC1=C(O)C(O)c2c(C)ccc(O)c2C1O,2
O=C(O)C(=O)C[C@H](O)[C@H](O)CO>>O=C(O)C(O)C[C@H](O)[C@H](O)CO,2
O=C1CC(c2ccccc2)Oc2ccc(O)cc21>>Oc1ccc2c(c1)C(O)CC(c1ccccc1)O2,2
O=C1c2ccccc2C(O)c2c1ccc1c2OCO1>>OC1c2ccccc2C(O)c2c1ccc1c2OCO1,2
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1O>>CC1=C(O)C(N)c2c(C)ccc(O)c2C1O,3
NC1C=C2N[C@H](C(=O)O)CC2=CC1=O>>NC1C=C2N[C@H](C(=O)O)CC2=CC1O,2
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O>>Cc1ccc2c(c1N)C(O)c1ccccc1C2=O,2
O=C1C=C2N[C@H](C(=O)O)CC2=CC1O>>NC1C=C2N[C@H](C(=O)O)CC2=CC1O,3
CC(C)=C1CC[C@]2(C)O[C@@H]2C1=O>>CC(C)=C1CC[C@]2(C)O[C@@H]2C1N,3
NC1C=CC(C[C@H](N)C(=O)O)=CC1=O>>NC1C=CC(C[C@H](N)C(=O)O)=CC1O,2
O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O>>NC(CCc1ccc(O)cc1)c1ccc(O)cc1O,3
NC1C=C2C[C@H](C(=O)O)NC2=CC1=O>>NC1C=C2C[C@H](C(=O)O)NC2=CC1O,2
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O>>NC1c2ccccc2C(=O)c2c1ccc(O)c2O,3
O=C1C[C@@H](O)Cc2cc(O)cc(O)c21>>NC1C[C@@H](O)Cc2cc(O)cc(O)c21,3
O=C1c2ccccc2C(=O)c2cc(CO)ccc21>>NC1c2ccccc2C(=O)c2ccc(CO)cc21,3
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O>>Cc1ccc2c(c1N)C(=O)c1ccccc1C2O,2
CC(C)=CCC1=CC(=O)C(C)=C(C)C1=O>>CC(C)=CCC1=CC(=O)C(C)=C(C)C1O,2
O=C1c2ccccc2C(=O)c2cc(CO)ccc21>>O=C1c2ccccc2C(O)c2cc(CO)ccc21,2
O=C1c2ccccc2C(O)c2c1ccc(CO)c2O>>NC1c2ccccc2C(O)c2c1ccc(CO)c2O,3
O=C1c2c(O)cccc2C(O)c2cccc(O)c21>>Oc1cccc2c1C(O)c1c(O)cccc1C2O,2
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1>>CCCCOc1ccc(C(O)CCN2CCCCC2)cc1,2
COc1ccc2c(c1O)C(O)c1ccccc1C2=O>>COc1ccc2c(c1O)C(O)c1ccccc1C2N,3
O=C1c2ccccc2C(O)c2c1ccc1c2OCO1>>NC1c2ccccc2C(O)c2c1ccc1c2OCO1,3
O=C(O)CC(=O)[C@H](O)[C@H](O)CO>>NC(CC(=O)O)[C@H](O)[C@H](O)CO,3
O=C(O)C(=O)[C@@H](O)[C@H](O)CO>>O=C(O)C(O)[C@@H](O)[C@H](O)CO,2
O=C1c2ccccc2C(=O)c2cc(CO)ccc21>>NC1c2ccccc2C(=O)c2cc(CO)ccc21,3
CC1=C(O)C(O)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(O)c2c(C)ccc(O)c2C1O,2
NC1c2ccccc2C(=O)c2c1ccc(CO)c2O>>NC1c2ccccc2C(O)c2c1ccc(CO)c2O,2
CC(C)=CCC1=CC(=O)C(C)=C(C)C1=O>>CC(C)=CCC1=CC(N)C(C)=C(C)C1=O,3
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O>>O=C1c2ccccc2C(O)c2c1ccc(O)c2O,2
C=C(C)[C@@H]1CC[C@H](C)C(=O)C1>>C=C(C)[C@@H]1CC[C@H](C)C(N)C1,3
COc1ccc2c(c1O)C(=O)c1ccccc1C2O>>COc1ccc2c(c1O)C(N)c1ccccc1C2O,3
C=C1C(=O)C[C@]2(C(C)C)C[C@H]12>>C=C1C(N)C[C@]2(C(C)C)C[C@H]12,3
O=C1c2ccccc2C(O)c2c1ccc(CO)c2O>>OCc1ccc2c(c1O)C(O)c1ccccc1C2O,2
O=C(O)C(=O)/C=C/c1cc2ccccc2cc1O>>NC(C=Cc1cc2ccccc2cc1O)C(=O)O,3
NC(C[C@H](O)[C@H](O)C=O)C(=O)O>>NC(C[C@H](O)[C@H](O)CO)C(=O)O,2
O=C(O)C/C(=C/C(=O)C(=O)O)C(=O)O>>NC(C=C(CC(=O)O)C(=O)O)C(=O)O,3
O=C1C(O)=CC(=O)c2c(O)cc(O)cc21>>O=C1C(O)=CC(O)c2c(O)cc(O)cc21,2
C=C(C)[C@H]1CC[C@@H](C)C(=O)C1>>C=C(C)[C@H]1CC[C@@H](C)C(O)C1,2
COc1ccc2c(c1O)C(=O)c1ccccc1C2O>>COc1ccc2c(c1O)C(O)c1ccccc1C2O,2
O=C(c1ccccc1)[C@@H](O)c1ccccc1>>NC(c1ccccc1)[C@@H](O)c1ccccc1,3
O=C(O)C(=O)[C@H](O)COP(=O)(O)O>>O=C(O)C(O)[C@H](O)COP(=O)(O)O,2
O=C[C@H](O)[C@H](O)COP(=O)(O)O>>NC[C@H](O)[C@H](O)COP(=O)(O)O,3
O=C(c1ccccc1)[C@@H](O)c1ccccc1>>OC(c1ccccc1)[C@@H](O)c1ccccc1,2
O=C(CO)[C@@H](O)[C@H](O)C(O)CO>>NC(CO)[C@@H](O)[C@H](O)C(O)CO,3
O=C(O)C(=O)C(C(=O)O)C(O)C(=O)O>>NC(C(=O)O)C(C(=O)O)C(O)C(=O)O,3
C[C@@H](O)[C@H](O)CC(=O)C(=O)O>>C[C@@H](O)[C@H](O)CC(O)C(=O)O,2
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O>>CCCCCCCCCC(N)CC(=O)NC1CCOC1=O,3
O=C1c2ccccc2C(=O)c2cc(CO)ccc21>>O=C1c2ccccc2C(O)c2ccc(CO)cc21,2
COc1ccc2c(c1O)C(O)c1ccccc1C2=O>>COc1ccc2c(c1O)C(O)c1ccccc1C2O,2
NC(CO)[C@@H](O)[C@H](O)C(=O)CO>>NC(CO)[C@@H](O)[C@H](O)C(N)CO,3
NC1C=C2C[C@H](C(=O)O)NC2=CC1=O>>NC1C=C2C[C@H](C(=O)O)NC2=CC1N,3
NC(CO)[C@@H](O)[C@H](O)C(=O)CO>>NC(CO)[C@@H](O)[C@H](O)C(O)CO,2
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O>>CCCCCCCCCC(O)CC(=O)NC1CCOC1=O,2
NC1C=C(C[C@H](N)C(=O)O)C=CC1=O>>NC1C=CC(C[C@H](N)C(=O)O)=CC1N,3
O=C1c2ccccc2-n2c1nc1ccccc1c2=O>>NC1c2ccccc2-n2c1nc1ccccc1c2=O,3
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O>>Cc1ccc2c(c1N)C(N)c1ccccc1C2=O,3
O=C(O)C(=O)C[C@H](O)[C@H](O)CO>>NC(C[C@H](O)[C@H](O)CO)C(=O)O,3
O=C(O)C(=O)/C=C/c1cc2ccccc2cc1O>>O=C(O)C(O)C=Cc1cc2ccccc2cc1O,2
O=C1C=C2C[C@H](C(=O)O)NC2=CC1O>>NC1C=C2C[C@H](C(=O)O)NC2=CC1O,3
CC(C)=CCC1=CC(=O)C(C)=C(C)C1=O>>CC(C)=CCC1=CC(O)C(C)=C(C)C1=O,2
O=C(O)C(=O)[C@H](O)COP(=O)(O)O>>NC(C(=O)O)[C@H](O)COP(=O)(O)O,3
C[C@H](O)[C@@H](O)CC(=O)C(=O)O>>C[C@H](O)[C@@H](O)CC(O)C(=O)O,2
CC(C)=C1CC[C@]2(C)O[C@@H]2C1=O>>CC(C)=C1CC[C@]2(C)O[C@@H]2C1O,2
O=C(CO)[C@@H](O)[C@H](O)C(O)CO>>OCC(O)[C@@H](O)[C@H](O)C(O)CO,2
O=C1c2cccc(O)c2C(O)c2c(O)cccc21>>Oc1cccc2c1C(O)c1c(O)cccc1C2O,2
O=C1C(O)=CC(=O)c2c(O)cc(O)cc21>>NC1C=C(O)C(=O)c2cc(O)cc(O)c21,3
CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2>>CC(O)c1cc2c(cc1O)OC(C)(C)C=C2,2
COc1ccc2c(c1O)C(N)c1ccccc1C2=O>>COc1ccc2c(c1O)C(N)c1ccccc1C2O,2
CC(C)=CCC1=CC(=O)C(C)=C(C)C1=O>>CC(C)=CCC1=CC(=O)C(C)=C(C)C1N,3
NC1c2ccccc2C(=O)c2c1ccc1c2OCO1>>NC1c2ccccc2C(O)c2c1ccc1c2OCO1,2
N[C@H](C(=O)O)C(=O)COP(=O)(O)O>>NC(COP(=O)(O)O)[C@H](N)C(=O)O,3
CCCCCC(=O)CC(=O)N[C@H]1CCOC1=O>>CCCCCC(N)CC(=O)N[C@H]1CCOC1=O,3
COc1ccc2c(c1O)C(N)c1ccccc1C2=O>>COc1ccc2c(c1O)C(N)c1ccccc1C2N,3
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1N>>CC1=C(O)C(N)c2c(C)ccc(O)c2C1N,3
O=CCCc1c(O)cc(C(=O)O)[nH]c1=O>>O=C(O)c1cc(O)c(CCCO)c(=O)[nH]1,2
O=C1C(O)=CC(=O)c2c(O)cc(O)cc21>>NC1C(O)=CC(=O)c2c(O)cc(O)cc21,3
NC1c2ccccc2C(=O)c2ccc(O)c(O)c21>>NC1c2ccccc2C(N)c2c1ccc(O)c2O,3
N[C@H](C(=O)O)C(=O)COP(=O)(O)O>>N[C@H](C(=O)O)C(O)COP(=O)(O)O,2
NC1C=CC(C[C@H](N)C(=O)O)=CC1=O>>NC1C=CC(C[C@H](N)C(=O)O)=CC1N,3
C[C@H](O)[C@@H](O)CC(=O)C(=O)O>>C[C@H](O)[C@@H](O)CC(N)C(=O)O,3
NC1c2ccccc2C(=O)c2c1ccc1c2OCO1>>NC1c2ccccc2C(N)c2c1ccc1c2OCO1,3
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O>>Cc1ccc2c(c1N)C(=O)c1ccccc1C2N,3
CC1=C(O)C(N)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(N)c2c(C)ccc(O)c2C1N,3
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1>>CCCCOc1ccc(C(N)CCN2CCCCC2)cc1,3
O=C1C=C2CCC(c3ccc(O)cc3)CC2CC1>>Oc1ccc(C2CCC3=CC(O)CCC3C2)cc1,2
C=C1C(=O)C[C@]2(C(C)C)C[C@H]12>>C=C1C(O)C[C@]2(C(C)C)C[C@H]12,2
COc1ccc2c(c1O)C(=O)c1ccccc1C2N>>COc1ccc2c(c1O)C(N)c1ccccc1C2N,3
CCCCCC(=O)CC(=O)N[C@H]1CCOC1=O>>CCCCCC(O)CC(=O)N[C@H]1CCOC1=O,2
CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2>>CC(N)c1cc2c(cc1O)OC(C)(C)C=C2,3
O=C1C=C2CCC(c3ccc(O)cc3)CC2CC1>>NC1C=C2CCC(c3ccc(O)cc3)CC2CC1,3
C[C@@H](O)[C@H](O)CC(=O)C(=O)O>>C[C@@H](O)[C@H](O)CC(N)C(=O)O,3
CC1=C(O)C(O)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(O)c2c(C)ccc(O)c2C1N,3
C=C(C)[C@H]1CC[C@@H](C)C(=O)C1>>C=C(C)[C@H]1CC[C@@H](C)C(N)C1,3
O=C(O)C(=O)C(C(=O)O)C(O)C(=O)O>>O=C(O)C(O)C(C(=O)O)C(O)C(=O)O,2
O=C(O)C(=O)[C@@H](O)[C@H](O)CO>>NC(C(=O)O)[C@@H](O)[C@H](O)CO,3
O=C1C(O)=CC(=O)c2c(O)cc(O)cc21>>O=C1C=C(O)C(O)c2cc(O)cc(O)c21,2
O=C1c2ccccc2-n2c1nc1ccccc1c2=O>>O=c1c2ccccc2nc2n1-c1ccccc1C2O,2
NC1c2ccccc2C(=O)c2c1ccc(CO)c2O>>NC1c2ccccc2C(N)c2c1ccc(CO)c2O,3
NC1C=C2N[C@H](C(=O)O)CC2=CC1=O>>NC1C=C2C[C@@H](C(=O)O)NC2=CC1N,3
O=C(O)/C(O)=C\C=C/C(=O)c1ccccc1>>O=C(O)/C(O)=C\C=CC(O)c1ccccc1,2
NC1C=C2N[C@@H](C(=O)O)CC2=CC1=O>>NC1C=C2C[C@H](C(=O)O)NC2=CC1N,3
O=C(O)CCC(=O)/C=C\C=C(\O)C(=O)O>>NC(C=C/C=C(/O)C(=O)O)CCC(=O)O,3
CC(=O)/C=C/C=C/C=C/C=C/c1ccccc1>>CC(O)C=C/C=C/C=C/C=C/c1ccccc1,2
CC(=O)/C=C/C=C/C=C/C=C/c1cccnc1>>CC(N)C=C/C=C/C=C/C=C/c1cccnc1,3
CC(=O)/C=C/C=C/C=C/C=C/c1cccnc1>>CC(O)C=C/C=C/C=C/C=C/c1cccnc1,2
O=C(O)/C(O)=C\C=C/C(=O)c1ccccc1>>NC(C=C/C=C(/O)C(=O)O)c1ccccc1,3
O=C(O)CCC(=O)/C=C\C=C(\O)C(=O)O>>O=C(O)CCC(O)C=C/C=C(/O)C(=O)O,2
CC(=O)/C=C/C=C/C=C/C=C/c1ccccc1>>CC(N)C=C/C=C/C=C/C=C/c1ccccc1,3
O=C1c2c(O)cccc2C(O)c2cccc(O)c21>>NC1c2c(O)cccc2C(O)c2cccc(O)c21,3
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O>>NC1c2ccccc2C(=O)c2ccc(O)c(O)c21,3
Cc1cc(O)c2c(c1)Cc1cccc(O)c1C2=O>>Cc1cc(O)c2c(c1)Cc1cccc(O)c1C2N,3
CCCCCC(O)CC(=O)CCc1ccc(O)c(O)c1>>CCCCCC(O)CC(O)CCc1ccc(O)c(O)c1,2
O=C[C@@H](O)[C@@H](O)CC(O)C(=O)O>>O=C(O)C(O)C[C@H](O)[C@H](O)CO,2
NC1c2cccc(O)c2C(=O)c2c(O)cccc21>>NC1c2cccc(O)c2C(O)c2c(O)cccc21,2
CC1=C(C=O)C2C(C(C)C)CCC1(C)C2CN>>CC1=C(CN)C2C(C(C)C)CCC1(C)C2CN,3
CC(C)=CCC1=C(O)C(O)c2ccccc2C1=O>>CC(C)=CCC1=C(O)C(O)c2ccccc2C1O,2
O=C(C[C@H]1CCCCN1)C[C@H]1CCCCN1>>OC(C[C@H]1CCCCN1)C[C@H]1CCCCN1,2
NC1c2c(O)cccc2C(=O)c2cccc(O)c21>>NC1c2c(O)cccc2C(O)c2cccc(O)c21,2
CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>>CC(c1c[nH]c2ccccc12)C(N)C(=O)O,3
CC1=C(C=O)C2C(C(C)C)CCC1(C)C2CO>>CC1=C(CN)C2C(C(C)C)CCC1(C)C2CO,3
NC1c2ccccc2C(=O)c2ccc(O)c(O)c21>>NC1c2ccccc2C(O)c2ccc(O)c(O)c21,2
C=C(C)[C@H]1Cc2cc(C(C)=O)ccc2O1>>C=C(C)[C@H]1Cc2cc(C(C)O)ccc2O1,2
O=C(O)C(=O)Cc1c[nH]c2ccc(O)cc12>>O=C(O)C(O)Cc1c[nH]c2ccc(O)cc12,2
CC1=C(CN)C2C(C(C)C)CCC1(C)C2C=O>>CC1=C(CN)C2C(C(C)C)CCC1(C)C2CN,3
O=C1c2ccccc2C(=O)c2c1ccc1c2OCO1>>O=C1c2ccccc2C(O)c2c1ccc1c2OCO1,2
COC1=CC(O)(C(C)=O)c2ccc(OC)cc21>>COC1=CC(O)(C(C)N)c2ccc(OC)cc21,3
O=C(O)C(=O)C[C@@H](O)[C@H](O)CO>>NC(C[C@@H](O)[C@H](O)CO)C(=O)O,3
CC1=Cc2c(C(C)C)ccc(C)c2C(=O)C1O>>CC1=Cc2c(C(C)C)ccc(C)c2C(O)C1O,2
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C=O>>C=CC(=C)CC/C=C(\C)CC/C=C(\C)CN,3
O=C(O)C(=O)C[C@@H](O)[C@H](O)CO>>O=C(O)C(O)C[C@@H](O)[C@H](O)CO,2
O=C(O)/C=C(\CC(=O)C(=O)O)C(=O)O>>O=C(O)/C=C(\CC(O)C(=O)O)C(=O)O,2
CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1=O>>CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1N,3
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1N>>CC(C)=CCC1=C(O)C(N)c2ccccc2C1N,3
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O>>NC(c1ccccc1)c1ccc2n1CCC2C(=O)O,3
COc1ccc2c(c1O)C(=O)c1ccccc1C2=O>>COc1ccc2c(c1O)C(N)c1ccccc1C2=O,3
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1>>CCC(N)C1(c2cccc(O)c2)CCN(C)CC1,3
CC1=C(C=O)C2C(C(C)C)CCC1(C)C2CN>>CC1=C(CO)C2C(C(C)C)CCC1(C)C2CN,2
O=C[C@@H](O)[C@H](O)COP(=O)(O)O>>O=P(O)(O)OC[C@@H](O)[C@H](O)CO,2
O=C(O)CC(/C=C\C(=O)C(=O)O)C(=O)O>>NC(C=CC(CC(=O)O)C(=O)O)C(=O)O,3
O=C[C@H](O)[C@@H](O)[C@@H](O)CO>>NC[C@H](O)[C@@H](O)[C@@H](O)CO,3
COc1cc2c(cc1C(C)=O)C=CC(C)(C)O2>>COc1cc2c(cc1C(C)O)C=CC(C)(C)O2,2
CC1=CC(=O)CC(C)(C)C1(O)C=CC(C)O>>CC1=CC(N)CC(C)(C)C1(O)C=CC(C)O,3
CC(C)=CCc1cc(CC(=O)C(=O)O)ccc1O>>CC(C)=CCc1cc(CC(O)C(=O)O)ccc1O,2
CCCCCCCCCCCCCCCC(=O)[C@@H](N)CO>>CCCCCCCCCCCCCCCC(O)[C@@H](N)CO,2
O=C1C=C2C[C@H](C(=O)O)NC2=CC1=O>>NC1C=C2C[C@H](C(=O)O)NC2=CC1=O,3
O=C(C[C@H]1CCCCN1)C[C@H]1CCCCN1>>NC(C[C@H]1CCCCN1)C[C@H]1CCCCN1,3
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O>>O=C1c2ccccc2C(O)c2ccc(O)c(O)c21,2
O=C1C=C2C[C@@H](C(=O)O)NC2=CC1O>>NC1C=C2C[C@@H](C(=O)O)NC2=CC1O,3
CC(C)=CCC1=C(O)C(O)c2ccccc2C1=O>>CC(C)=CCC1=C(O)C(O)c2ccccc2C1N,3
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1N>>CC(C)=CCC1=C(O)C(O)c2ccccc2C1N,2
O=C(O)C(=O)C[C@H](O)[C@@H](O)CO>>NC(C[C@H](O)[C@@H](O)CO)C(=O)O,3
NC1C=C2N[C@@H](C(=O)O)CC2=CC1=O>>NC1C=C2N[C@@H](C(=O)O)CC2=CC1O,2
O=C1C2=C(c3ccccc31)C(O)C(O)C=C2>>NC1C2=C(c3ccccc31)C(O)C(O)C=C2,3
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O>>O=C(O)C1CCn2c1ccc2C(O)c1ccccc1,2
O=C(O)/C=C(\CC(=O)C(=O)O)C(=O)O>>NC(C/C(=C\C(=O)O)C(=O)O)C(=O)O,3
O=C(O)C(=O)C[C@H](O)[C@@H](O)CO>>O=C(O)C(O)C[C@H](O)[C@@H](O)CO,2
C=C(C)c1cc2cc(C(C)=O)c(OC)cc2o1>>C=C(C)c1cc2cc(C(C)O)c(OC)cc2o1,2
COC1=CC(O)(C(C)=O)c2ccc(OC)cc21>>COC1=CC(O)(C(C)O)c2ccc(OC)cc21,2
Cc1cc(O)c2c(c1)Cc1cccc(O)c1C2=O>>Cc1cc(O)c2c(c1)Cc1cccc(O)c1C2O,2
O=C1c2ccccc2C(=O)c2c1ccc(CO)c2O>>NC1c2ccccc2C(=O)c2c1ccc(CO)c2O,3
COc1ccc2c(c1O)C(=O)c1ccccc1C2=O>>COc1ccc2c(c1O)C(O)c1ccccc1C2=O,2
CC1=CC(=O)CC(C)(C)C1(O)C=CC(C)O>>CC1=CC(O)CC(C)(C)C1(O)C=CC(C)O,2
O=C[C@H](O)[C@@H](O)CC(O)C(=O)O>>O=C(O)C(O)C[C@H](O)[C@@H](O)CO,2
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1>>CCC(O)C1(c2cccc(O)c2)CCN(C)CC1,2
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1O>>CC(C)=CCC1=C(O)C(N)c2ccccc2C1O,3
O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O>>NC(CC(O)(CC(=O)O)C(=O)O)C(=O)O,3
NC(C[C@H](O)[C@@H](O)C=O)C(=O)O>>NC[C@H](O)[C@@H](O)CC(N)C(=O)O,3
CC1=C(C=O)C2C(C(C)C)CCC1(C)C2CO>>CC1=C(CO)C2C(C(C)C)CCC1(C)C2CO,2
O=C1c2ccccc2C(O)c2ccc3c(c21)OCO3>>OC1c2ccccc2C(O)c2c1ccc1c2OCO1,2
NC1c2ccccc2C(=O)c2ccc3c(c21)OCO3>>NC1c2ccccc2C(N)c2c1ccc1c2OCO1,3
CC1=Cc2c(C(C)C)ccc(C)c2C(=O)C1N>>CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1N,3
O=C1c2cccc(O)c2C(O)c2c(O)cccc21>>NC1c2cccc(O)c2C(O)c2c(O)cccc21,3
NC1c2ccc(O)cc2C(=O)c2ccc(O)cc21>>NC1c2ccc(O)cc2C(N)c2ccc(O)cc21,3
CC1=Cc2c(C(C)C)ccc(C)c2C(=O)C1O>>CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1O,3
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1O>>CC(C)=CCC1=C(O)C(O)c2ccccc2C1O,2
O=C1C=C2C[C@H](C(=O)O)NC2=CC1O>>O=C(O)[C@H]1CC2=CC(O)C(O)C=C2N1,2
O=C(O)C[C@@H](O)[C@H](O)C(=O)CO>>O=C(O)C[C@@H](O)[C@H](O)C(O)CO,2
O=C(O)C(=O)Cc1c[nH]c2ccc(O)cc12>>NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,3
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1>>CCc1oc2ccccc2c1C(O)c1ccc(O)cc1,2
CC1=C(CN)C2C(C(C)C)CCC1(C)C2C=O>>CC1=C(CN)C2C(C(C)C)CCC1(C)C2CO,2
CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1=O>>CC1=Cc2c(C(C)C)ccc(C)c2C(N)C1O,2
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(O)c2c(C)ccc(O)c2C1=O,2
NC1C=C2C[C@@H](C(=O)O)NC2=CC1=O>>NC1C=C2C[C@@H](C(=O)O)NC2=CC1N,3
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(=O)c2c(C)ccc(O)c2C1N,3
NC1c2cccc(O)c2C(=O)c2c(O)cccc21>>NC1c2cccc(O)c2C(N)c2c(O)cccc21,3
CC1=C(O)C(=O)c2c(C)ccc(O)c2C1=O>>CC1=C(O)C(N)c2c(C)ccc(O)c2C1=O,3
NC1C=C2C[C@@H](C(=O)O)NC2=CC1=O>>NC1C=C2C[C@@H](C(=O)O)NC2=CC1O,2
