rxn,category
O=C1CCCC(O)C1>>OC1CCCC(O)C1,2
CC(=O)CC(N)=O>>CC(O)CC(N)=O,2
CC(=O)CC(C)=O>>CC(=O)CC(C)O,2
C[C@@H](O)C=O>>C[C@@H](O)CO,2
CCC(=O)C(O)CC>>CCC(O)C(O)CC,2
NC1CCCC(=O)C1>>NC1CCCC(N)C1,3
CC(C=O)C(=O)O>>CC(CO)C(=O)O,2
O=C1C=CC=CC1O>>NC1C=CC=CC1O,3
NC1C=CC=CC1=O>>NC1C=CC=CC1N,3
CCC(=O)C(=O)O>>CCC(N)C(=O)O,3
O=CCCCCC(=O)O>>NCCCCCC(=O)O,3
NC1CCC(=O)CC1>>NC1CCC(O)CC1,2
CC(=O)CC(C)=O>>CC(=O)CC(C)N,3
O=C1CCC(O)CC1>>NC1CCC(O)CC1,3
NC1C=CC=CC1=O>>NC1C=CC=CC1O,2
N=C(N)NCCCC=O>>N=C(N)NCCCCO,2
O=CC(O)C(=O)O>>NCC(O)C(=O)O,3
O=CCCCCC(=O)O>>O=C(O)CCCCCO,2
O=C[C@H](O)CO>>NC[C@H](O)CO,3
Cc1ccc(C=O)o1>>Cc1ccc(CN)o1,3
Cc1ccc(C=O)o1>>Cc1ccc(CO)o1,2
CCC(=O)C(=O)O>>CCC(O)C(=O)O,2
O=C(O)C(=O)CO>>O=C(O)C(O)CO,2
O=C1C=CC=CC1O>>OC1C=CC=CC1O,2
O=CCP(=O)(O)O>>NCCP(=O)(O)O,3
O=C1CCC(O)CC1>>OC1CCC(O)CC1,2
NC1CCC(=O)CC1>>NC1CCC(N)CC1,3
O=CC(O)C(=O)O>>O=C(O)C(O)CO,2
O=CCP(=O)(O)O>>O=P(O)(O)CCO,2
CCC(=O)C(O)CC>>CCC(N)C(O)CC,3
C[C@@H](O)C=O>>C[C@@H](O)CN,3
CC(=O)CC(N)=O>>CC(N)CC(N)=O,3
CC(=O)NCCCC=O>>CC(=O)NCCCCO,2
CC(=O)CC(=O)O>>CC(N)CC(=O)O,3
CC(=O)CC(=O)O>>CC(O)CC(=O)O,2
CC(C=O)C(=O)O>>CC(CN)C(=O)O,3
N=C(N)NCCCC=O>>N=C(N)NCCCCN,3
O=C1C=CC=CC1=O>>NC1C=CC=CC1=O,3
NC(CC=O)C(=O)O>>NCCC(N)C(=O)O,3
CCCCCCCCCCCC=O>>CCCCCCCCCCCCO,2
N=C1C=CC=CC1=O>>N=C1C=CC=CC1O,2
O=C1CCC(=O)CC1>>O=C1CCC(O)CC1,2
O=CCC(O)C(=O)O>>NCCC(O)C(=O)O,3
O=CCCCCCC(=O)O>>O=C(O)CCCCCCO,2
O=C(O)C(=O)CCO>>NC(CCO)C(=O)O,3
CC(=O)/C(C)=N/O>>CC(=NO)C(C)O,2
O=C[C@@H](O)CO>>NC[C@@H](O)CO,3
Cc1ccc(C=O)cc1>>Cc1ccc(CN)cc1,3
O=CCc1c[nH]cn1>>OCCc1c[nH]cn1,2
O=CCC(O)C(=O)O>>O=C(O)C(O)CCO,2
N=C1C=CC=CC1=O>>N=C1C=CC=CC1N,3
CCCC(=O)C(=O)O>>CCCC(N)C(=O)O,3
CCCCCCCCCCCC=O>>CCCCCCCCCCCCN,3
O=C1CCCC(=O)C1>>O=C1CCCC(O)C1,2
O=Cc1ccc(CO)o1>>OCc1ccc(CO)o1,2
O=Cc1ccc(O)cc1>>NCc1ccc(O)cc1,3
Cc1cccc(C=O)c1>>Cc1cccc(CN)c1,3
CC(=O)c1ccccc1>>CC(N)c1ccccc1,3
O=CCCCCCC(=O)O>>NCCCCCCC(=O)O,3
NCCC(=O)C(=O)O>>NCCC(N)C(=O)O,3
CC(=O)/C(C)=N/O>>CC(=NO)C(C)N,3
CCC(=O)CC(=O)O>>CCC(N)CC(=O)O,3
CCC(=O)CC(=O)O>>CCC(O)CC(=O)O,2
Cn1cnc(CC=O)c1>>Cn1cnc(CCN)c1,3
O=Cc1cccc(O)c1>>OCc1cccc(O)c1,2
